,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.31,0.48,0.07,0.09,0.05,0.8,0.12,0.43,1.0,0.12,0.06,0.16,0.45,0.0,0.61
fluidium.csv,0.19,0.35,0.1,0.09,0.64,0.45,0.12,0.26,0.15,0.29,0.34,0.18,0.32,1.0,0.17
guineu.csv,0.96,0.47,0.0,0.18,0.14,0.0,0.09,0.43,0.08,0.11,0.09,0.03,0.11,0.62,0.05
inkscape.csv,0.19,0.31,0.05,0.0,0.5,0.3,0.95,0.09,0.0,0.52,0.2,0.37,0.14,0.52,0.02
mpqc.csv,0.5,0.48,0.33,0.36,0.32,1.0,0.02,0.57,0.46,0.18,0.35,0.16,0.36,0.38,0.56
nsis.csv,0.85,0.91,0.95,1.0,0.95,0.95,0.95,0.83,0.77,0.88,1.0,1.0,0.82,0.9,0.92
octave.csv,0.38,0.32,0.24,0.45,0.86,0.05,0.3,0.3,0.38,0.16,0.13,0.08,0.27,0.1,0.58
owfs.csv,0.31,0.12,0.29,0.73,0.27,0.1,0.12,0.39,0.46,0.27,0.22,0.03,0.32,0.05,0.27
owlib.csv,0.73,0.96,0.55,0.73,0.59,0.1,0.33,0.35,0.54,0.39,0.47,0.26,0.59,0.19,0.39
pamguard.csv,0.85,0.6,1.0,1.0,0.55,0.7,0.35,0.74,0.54,0.66,0.26,0.26,0.59,0.29,0.97
prelude.csv,1.0,0.96,1.0,1.0,1.0,0.85,0.98,0.96,1.0,0.95,0.9,0.95,0.91,0.9,0.95
robocode.csv,0.62,0.27,0.05,0.55,0.5,0.3,0.16,1.0,0.54,0.38,0.22,0.16,0.55,0.38,0.29
uwom-server.csv,0.62,0.33,0.07,0.09,0.23,0.1,0.26,0.78,0.92,0.95,0.08,0.16,0.43,0.38,0.44
zengine.csv,0.88,0.92,0.98,0.82,0.73,0.9,0.91,0.74,0.92,0.86,0.55,1.0,0.95,0.62,0.95
zildo.csv,0.46,0.3,0.07,0.55,0.14,0.15,0.4,0.22,0.15,0.45,0.15,0.18,0.95,0.38,0.34
