,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.3,0.43,0.75,0.33,1.0,0.21,0.45,0.56,1.0,0.12,0.71,1.0,0.69,0.0,0.68
fluidium.csv,0.36,0.56,0.8,0.06,0.2,0.14,0.71,0.5,0.2,0.27,0.88,0.7,0.82,1.0,0.67
guineu.csv,0.96,0.51,0.0,0.25,0.21,0.0,0.57,0.67,0.09,0.46,1.0,1.0,0.5,0.5,1.0
inkscape.csv,0.33,0.42,1.0,0.0,0.2,0.12,1.0,0.67,0.0,0.35,0.94,1.0,0.67,0.5,0.5
mpqc.csv,0.26,0.36,0.88,0.29,0.16,1.0,0.11,0.38,0.11,0.18,0.91,0.5,0.41,0.33,0.79
nsis.csv,0.32,0.39,0.82,0.18,0.17,0.16,0.57,0.49,0.18,0.24,0.99,0.76,0.47,0.42,0.64
octave.csv,0.4,0.44,0.91,0.19,1.0,0.03,0.72,0.44,0.11,0.27,0.92,1.0,0.34,0.67,0.59
owfs.csv,0.53,0.4,0.67,1.0,0.2,0.08,0.45,0.56,0.26,0.48,1.0,1.0,0.82,0.33,0.73
owlib.csv,0.48,1.0,0.92,0.19,0.22,0.05,0.58,0.47,0.21,0.28,0.93,1.0,0.74,0.31,0.77
pamguard.csv,0.33,0.41,0.79,0.18,0.25,0.17,0.44,0.46,0.21,0.25,0.92,0.91,0.5,0.38,1.0
prelude.csv,0.31,0.4,1.0,0.2,0.18,0.14,0.59,0.44,0.21,0.26,0.92,0.86,0.49,0.43,0.64
robocode.csv,0.47,0.67,1.0,0.22,0.31,0.15,0.54,1.0,0.24,0.38,0.86,0.75,0.51,0.57,0.63
uwom-server.csv,0.31,0.37,1.0,0.25,0.19,0.09,0.65,0.44,0.18,1.0,0.78,0.75,0.37,0.5,0.63
zengine.csv,0.3,0.39,0.79,0.17,0.24,0.18,0.59,0.5,0.44,0.28,0.94,1.0,0.58,0.38,0.64
zildo.csv,0.48,0.58,0.75,0.17,0.3,0.27,0.61,0.71,0.18,0.32,0.87,1.0,0.98,0.5,0.62
