,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.35,0.5,0.09,0.11,0.06,0.69,0.14,0.47,1.0,0.14,0.07,0.19,0.49,0.0,0.58
fluidium.csv,0.22,0.4,0.12,0.11,0.6,0.46,0.15,0.3,0.18,0.33,0.35,0.21,0.37,1.0,0.2
guineu.csv,0.96,0.5,0.0,0.21,0.17,0.0,0.11,0.48,0.1,0.13,0.11,0.04,0.13,0.6,0.06
inkscape.csv,0.22,0.35,0.06,0.0,0.51,0.33,0.96,0.11,0.0,0.55,0.24,0.42,0.17,0.54,0.02
mpqc.csv,0.46,0.47,0.37,0.4,0.36,1.0,0.02,0.45,0.32,0.21,0.38,0.19,0.38,0.39,0.59
nsis.csv,0.5,0.2,0.51,0.24,0.09,0.24,0.13,0.6,0.47,0.27,0.97,0.0,0.31,0.35,0.24
octave.csv,0.42,0.36,0.28,0.47,0.88,0.06,0.34,0.34,0.34,0.19,0.16,0.1,0.3,0.12,0.47
owfs.csv,0.36,0.15,0.31,0.77,0.31,0.12,0.14,0.43,0.49,0.31,0.26,0.04,0.37,0.06,0.31
owlib.csv,0.71,0.97,0.59,0.59,0.58,0.12,0.37,0.39,0.54,0.42,0.49,0.31,0.62,0.22,0.43
pamguard.csv,0.54,0.55,0.0,0.17,0.57,0.59,0.36,0.56,0.54,0.55,0.3,0.3,0.54,0.33,0.98
prelude.csv,0.09,0.13,1.0,0.47,0.13,0.2,0.33,0.0,0.45,0.33,0.0,0.81,0.27,0.43,0.24
robocode.csv,0.63,0.31,0.06,0.56,0.54,0.34,0.19,1.0,0.55,0.42,0.25,0.19,0.53,0.42,0.33
uwom-server.csv,0.56,0.36,0.09,0.11,0.27,0.12,0.3,0.47,0.17,0.96,0.1,0.19,0.38,0.42,0.46
zengine.csv,0.27,0.09,0.0,0.43,0.67,0.56,0.47,0.63,0.87,0.61,0.55,1.0,0.66,0.5,0.24
zildo.csv,0.5,0.34,0.09,0.52,0.17,0.18,0.43,0.26,0.18,0.48,0.18,0.22,0.96,0.42,0.38
