,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,57.0,0.0,5.0,4.0,3.0,20.0,3.0,10.0,2.0,11.0,5.0,43.0,0.0,0.0,8.0
grafx2.csv,45.0,0.0,16.0,0.0,1.0,17.0,1.0,1.0,3.0,9.0,2.0,54.0,0.0,0.0,1.0
keyczar.csv,19.0,1.0,12.0,8.0,2.0,5.0,0.0,147.0,10.0,5.0,1.0,119.0,79.0,0.0,0.0
lmms.csv,0.0,1.0,7.0,4.0,2.0,22.0,3.0,4.0,2.0,11.0,1.0,49.0,0.0,0.0,1.0
lufa-lib.csv,0.0,0.0,35.0,3.0,2.0,45.0,3.0,33.0,1.0,4.0,1.0,119.0,0.0,1.0,1.0
netatalk.csv,55.0,1.0,40.0,0.0,2.0,80.0,0.0,32.0,0.0,4.0,1.0,37.0,0.0,1.0,0.0
openmeetings.csv,6.0,2.0,0.0,0.0,1.0,55.0,2.0,0.0,0.0,1.0,4.0,31.0,1.0,0.0,0.0
openxava.csv,35.0,4.0,18.0,0.0,1.0,6.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0
pgui.csv,499.0,206.0,21.0,4.0,1.0,962.0,232.0,6.0,0.0,11.0,10.0,119.0,0.0,3.0,2.0
qpe.csv,7.0,0.0,4.0,0.0,3.0,15.0,0.0,15.0,0.0,5.0,5.0,51.0,0.0,1.0,1.0
quickfast.csv,0.0,0.0,25.0,3.0,3.0,16.0,0.0,6.0,3.0,11.0,10.0,57.0,0.0,3.0,1.0
rsyslog.csv,0.0,2.0,35.0,0.0,1.0,79.0,0.0,32.0,0.0,3.0,3.0,44.0,0.0,0.0,1.0
sylpheed-claws.csv,0.0,0.0,38.0,4.0,2.0,7.0,0.0,2.0,5.0,11.0,1.0,42.0,0.0,3.0,2.0
xqilla.csv,12.0,1.0,44.0,0.0,0.0,34.0,1.0,0.0,5.0,13.0,1.0,1.0,0.0,4.0,0.0
yale.csv,0.0,0.0,3.0,4.0,2.0,24.0,3.0,10.0,2.0,11.0,1.0,119.0,0.0,1.0,2.0
