,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.1,0.72,0.25,0.54,0.57,0.17,0.52,0.17,0.29,0.4,0.27,0.03,0.92,0.83,0.62
grafx2.csv,0.11,0.76,0.18,0.59,0.82,0.18,0.6,0.36,0.38,0.22,0.46,0.02,0.93,0.89,0.79
keyczar.csv,0.08,0.53,0.12,0.25,0.31,0.17,0.51,0.0,0.15,0.29,0.25,0.0,0.0,0.89,0.82
lmms.csv,0.1,0.75,0.37,0.53,0.65,0.2,0.48,0.15,0.28,0.43,0.28,0.02,0.87,0.86,0.67
lufa-lib.csv,0.09,0.71,0.11,0.54,0.47,0.18,0.47,0.1,0.34,0.61,0.21,0.0,0.82,0.79,0.55
netatalk.csv,0.11,0.73,0.12,0.72,0.56,0.14,0.61,0.1,0.44,0.47,0.45,0.03,0.88,0.76,0.69
openmeetings.csv,0.15,0.7,0.45,0.74,0.85,0.2,0.61,0.34,0.33,0.41,0.35,0.02,0.93,0.91,0.79
openxava.csv,0.13,0.75,0.23,0.86,0.71,0.24,0.59,0.2,0.31,0.35,0.44,0.08,0.74,0.81,0.79
pgui.csv,0.0,0.0,0.26,0.51,0.76,0.0,0.0,0.4,0.43,0.42,0.29,0.0,0.84,0.76,0.57
qpe.csv,0.17,0.75,0.38,0.75,0.78,0.25,0.74,0.24,0.43,0.44,0.42,0.02,0.95,0.75,0.77
quickfast.csv,0.08,0.64,0.17,0.51,0.55,0.19,0.55,0.14,0.28,0.41,0.3,0.03,0.83,0.77,0.82
rsyslog.csv,0.11,0.74,0.16,0.78,0.76,0.15,0.64,0.11,0.4,0.4,0.33,0.03,0.95,0.89,0.76
sylpheed-claws.csv,0.08,0.64,0.14,0.52,0.53,0.18,0.7,0.16,0.34,0.43,0.27,0.03,0.84,0.76,0.59
xqilla.csv,0.08,0.63,0.08,1.0,1.0,0.08,0.79,0.67,0.2,0.23,0.33,0.3,0.82,0.72,0.67
yale.csv,0.07,0.63,0.43,0.51,0.53,0.23,0.27,0.19,0.32,0.43,0.28,0.0,0.8,0.76,0.5
