,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.44,0.37,0.4,0.52,0.49,0.38,0.39,0.37,0.4,0.51,0.38,0.33,0.37,0.71,0.38
grafx2.csv,0.5,0.43,0.35,0.59,0.33,0.5,0.41,0.93,0.46,0.66,0.38,0.34,0.44,0.68,0.45
keyczar.csv,0.96,0.97,0.75,0.92,0.94,0.92,0.84,0.0,0.9,0.78,0.7,0.0,0.0,0.47,0.91
lmms.csv,0.46,0.45,0.52,0.53,0.47,0.49,0.44,0.34,0.4,0.52,0.41,0.46,0.6,0.47,0.37
lufa-lib.csv,0.62,0.6,0.59,0.73,0.6,0.6,0.62,0.5,0.58,0.73,0.64,0.92,0.52,0.5,0.51
netatalk.csv,0.46,0.41,0.47,0.44,0.47,0.55,0.47,0.49,0.42,0.5,0.35,0.35,0.39,0.43,0.35
openmeetings.csv,0.47,0.47,0.53,0.42,0.33,0.39,0.41,0.62,0.38,0.44,0.35,0.35,0.44,0.91,0.34
openxava.csv,0.44,0.65,0.43,0.43,0.64,0.52,0.38,0.41,0.38,0.4,0.33,0.46,0.74,0.45,0.38
pgui.csv,0.0,0.0,0.46,0.53,0.41,0.0,0.0,0.9,0.64,0.52,0.39,0.0,0.39,0.43,0.41
qpe.csv,0.57,0.6,0.62,0.5,0.44,0.65,0.9,0.71,0.56,0.51,0.46,0.45,0.85,0.81,0.58
quickfast.csv,0.47,0.38,0.36,0.51,0.51,0.38,0.35,0.39,0.4,0.52,0.36,0.38,0.4,0.43,0.36
rsyslog.csv,0.5,0.44,0.51,0.48,0.41,0.65,0.64,0.68,0.45,0.54,0.56,0.35,0.46,0.68,0.48
sylpheed-claws.csv,0.44,0.4,0.4,0.52,0.53,0.37,0.44,0.35,0.4,0.52,0.42,0.4,0.37,0.43,0.38
xqilla.csv,0.98,0.79,0.48,0.0,0.89,0.97,0.96,0.67,0.78,0.6,0.67,0.9,0.82,0.83,0.83
yale.csv,0.63,0.62,0.96,0.53,0.54,0.69,0.99,0.65,0.98,0.54,0.44,0.97,0.59,0.73,0.64
