,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.45,0.12,0.38,0.39,0.36,0.29,0.86,0.17,0.31,0.35,0.27,0.53,0.29
gamestone.csv,0.09,0.88,0.11,0.06,0.0,0.02,0.0,0.08,0.23,0.08,0.1,0.03,0.42
gbif-providertoolkit.csv,0.21,0.0,0.04,0.0,0.93,0.1,0.14,0.12,0.08,0.08,0.03,0.06,0.16
growl-for-windows.csv,0.31,0.25,0.43,0.29,0.57,0.41,0.38,0.58,0.92,0.21,0.57,0.94,0.71
gss.csv,0.82,0.88,0.71,0.87,0.79,0.65,0.81,0.54,0.69,0.71,1.0,0.42,0.53
heekscad.csv,1.0,0.62,0.68,0.71,0.43,0.43,0.48,0.62,0.54,0.65,0.2,0.17,0.2
igarden.csv,0.29,0.12,0.2,0.9,0.14,0.2,0.43,0.12,0.31,0.19,0.13,0.19,0.4
levent.csv,0.61,0.88,0.62,0.55,0.79,1.0,0.52,0.4,0.31,0.38,0.4,0.31,0.31
openmsx.csv,0.57,0.25,0.34,0.84,0.5,0.98,1.0,0.92,0.85,0.6,0.73,0.81,0.82
pnotepad.csv,0.95,0.88,0.89,0.94,0.93,0.84,1.0,0.75,1.0,0.98,0.83,0.64,0.82
quark.csv,0.29,0.12,0.23,0.03,0.0,0.0,0.1,0.05,0.92,0.04,0.1,0.11,0.24
tango-cs.csv,0.51,0.0,0.41,0.26,0.43,0.27,0.19,0.54,1.0,0.42,0.6,0.64,0.93
xcsoar.csv,0.66,0.38,0.98,0.39,0.64,0.37,0.57,0.35,1.0,0.21,0.53,0.36,0.69
