,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.3,0.58,0.45,0.26,0.22,0.13,0.03,0.15,0.25,0.8,0.3,0.22,0.43
gamestone.csv,0.06,0.0,0.07,0.07,0.13,0.0,0.07,0.14,0.46,0.0,0.0,0.17,0.26
gbif-providertoolkit.csv,0.19,0.1,0.04,0.04,0.0,0.09,0.03,0.03,0.1,0.0,0.0,0.0,0.16
growl-for-windows.csv,0.3,0.29,0.24,0.22,0.52,0.22,0.53,0.63,0.58,0.2,0.6,0.0,0.67
gss.csv,0.6,0.35,0.39,0.68,0.66,0.7,0.83,0.49,0.5,0.4,0.0,0.56,0.46
heekscad.csv,0.0,0.29,0.46,0.43,0.36,0.35,0.47,0.55,0.23,0.4,0.05,0.39,0.26
igarden.csv,0.06,0.13,0.0,0.0,0.07,0.17,0.23,0.13,0.33,0.0,0.2,0.11,0.28
levent.csv,0.23,0.27,0.18,0.39,0.25,0.0,0.37,0.36,0.29,0.0,0.2,0.33,0.29
openmsx.csv,0.77,0.63,0.25,0.75,0.73,0.96,0.63,0.01,0.75,0.8,0.95,0.56,0.87
pnotepad.csv,0.66,0.58,0.8,0.97,0.91,0.7,1.0,0.78,0.87,0.0,0.85,0.83,0.7
quark.csv,0.02,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.23
tango-cs.csv,0.43,0.04,0.28,0.12,0.34,0.22,0.1,0.55,0.81,0.5,0.55,0.44,0.0
xcsoar.csv,0.3,0.25,0.01,0.22,0.39,0.13,0.4,0.39,0.94,0.0,0.2,0.33,0.51
