,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.62,1.05,0.77,0.67,0.68,0.73,0.15,0.84,0.74,1.03,0.79,0.52,0.83
gamestone.csv,0.91,0.12,0.9,0.94,1.01,0.98,1.0,0.93,0.9,0.92,0.9,0.99,0.63
gbif-providertoolkit.csv,0.82,1.0,0.97,1.0,0.07,0.9,0.86,0.88,0.93,0.92,0.97,0.94,0.86
growl-for-windows.csv,0.75,0.8,0.62,0.74,0.68,0.63,0.82,0.75,0.58,0.82,0.74,0.06,0.73
gss.csv,0.62,0.37,0.49,0.69,0.69,0.78,0.85,0.67,0.59,0.5,0.0,0.81,0.66
heekscad.csv,0.0,0.47,0.57,0.52,0.67,0.67,0.7,0.67,0.52,0.53,0.8,0.92,0.84
igarden.csv,0.72,0.89,0.8,0.1,0.86,0.81,0.62,0.89,0.77,0.81,0.89,0.81,0.66
levent.csv,0.45,0.3,0.42,0.6,0.33,0.0,0.6,0.7,0.75,0.62,0.63,0.77,0.75
openmsx.csv,0.88,0.98,0.71,0.77,0.89,0.96,0.63,0.08,0.77,0.89,0.99,0.59,0.89
pnotepad.csv,0.66,0.59,0.81,0.97,0.91,0.71,1.0,0.81,0.87,0.02,0.87,0.91,0.72
quark.csv,0.71,0.88,0.77,0.97,1.0,1.0,0.9,0.95,0.08,0.96,0.91,0.89,0.79
tango-cs.csv,0.65,1.0,0.65,0.75,0.67,0.77,0.82,0.72,0.81,0.77,0.68,0.57,0.07
xcsoar.csv,0.45,0.67,0.02,0.65,0.53,0.65,0.59,0.76,0.94,0.79,0.51,0.72,0.6
