,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.71,0.03,0.4,0.39,0.25,0.82,0.95,0.44,0.24,0.68,0.57,0.83,0.3
gamestone.csv,0.7,1.0,0.55,0.29,0.0,1.0,0.0,0.28,0.11,1.0,1.0,0.25,0.51
gbif-providertoolkit.csv,0.64,0.0,0.4,0.0,1.0,0.71,0.75,0.73,0.17,1.0,1.0,1.0,0.39
growl-for-windows.csv,0.63,0.12,0.59,0.36,0.19,0.8,0.33,0.39,0.29,0.83,0.59,1.0,0.41
gss.csv,0.69,0.28,0.59,0.36,0.2,0.67,0.4,0.43,0.26,0.89,1.0,0.6,0.43
heekscad.csv,1.0,0.25,0.54,0.42,0.2,0.72,0.42,0.43,0.37,0.89,0.86,0.46,0.33
igarden.csv,0.88,0.12,1.0,1.0,0.29,0.71,0.56,0.4,0.19,1.0,0.5,0.78,0.49
levent.csv,0.81,0.33,0.73,0.38,0.39,1.0,0.5,0.43,0.21,1.0,0.75,0.65,0.41
openmsx.csv,0.55,0.06,0.51,0.32,0.12,0.69,0.52,0.98,0.22,0.78,0.54,0.74,0.38
pnotepad.csv,0.7,0.19,0.47,0.29,0.18,0.72,0.41,0.4,0.22,1.0,0.6,0.61,0.44
quark.csv,0.96,1.0,0.93,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6,1.0,0.41
tango-cs.csv,0.66,0.0,0.53,0.47,0.21,0.72,0.57,0.4,0.24,0.8,0.62,0.74,1.0
xcsoar.csv,0.78,0.19,0.98,0.43,0.26,0.86,0.5,0.38,0.21,1.0,0.8,0.68,0.47
