,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.61,0.6,0.39,0.7,0.88,0.81,0.64,0.71,0.63,0.71,0.31,0.91,0.74,0.86
baadengine.csv,0.28,1.03,0.82,0.77,1.0,0.68,0.97,0.79,0.92,0.77,0.97,0.98,0.78,0.44
bnetd.csv,0.76,0.75,0.71,0.71,0.71,1.01,0.33,0.76,0.79,0.54,0.94,0.83,0.59,0.85
impala.csv,0.97,0.86,0.27,0.67,0.73,0.79,0.58,0.98,0.75,0.93,0.93,0.49,0.22,0.8
jaxen.csv,0.96,0.55,0.67,0.87,0.58,0.1,0.67,0.77,0.72,0.81,0.93,0.74,0.65,0.82
jgameai.csv,0.99,1.01,1.01,0.58,0.99,0.96,0.81,0.91,0.65,0.96,0.96,0.92,1.01,1.0
jparsec.csv,0.68,1.22,0.6,0.72,1.0,0.65,0.94,0.6,0.93,0.78,0.96,0.79,0.9,0.34
motu.csv,0.63,1.02,0.7,0.86,0.97,1.0,0.56,0.88,0.8,0.46,0.71,0.79,0.61,0.91
vars-redux.csv,0.55,1.09,0.58,0.9,0.71,0.47,0.62,0.47,0.64,0.63,0.66,0.88,0.53,0.84
werx.csv,0.99,0.04,1.0,0.98,1.0,0.84,0.95,0.91,1.0,0.96,1.0,0.96,0.99,1.0
wishmaster.csv,0.93,0.93,1.01,1.0,1.0,0.81,0.82,0.77,0.42,0.85,0.82,0.72,0.3,0.83
xreal.csv,0.94,0.88,1.03,0.86,0.97,1.0,0.88,0.93,1.0,0.94,1.01,0.56,0.02,0.96
zealos.csv,0.72,0.72,1.01,0.78,0.44,1.01,0.9,0.87,0.86,0.71,0.58,1.0,0.53,0.72
