,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.45,0.25,0.39,0.4,0.18,0.15,0.34,0.66,0.46,0.35,0.2,0.22,0.42,0.54
baadengine.csv,0.19,0.75,0.82,0.46,1.0,0.68,0.97,0.79,0.92,0.74,0.97,0.98,0.78,0.39
bnetd.csv,0.53,0.75,0.71,0.54,0.24,0.99,0.17,0.75,0.33,0.28,0.93,0.83,0.59,0.7
impala.csv,0.02,0.0,0.27,0.65,0.21,0.51,0.23,0.01,0.49,0.11,0.47,0.28,0.22,0.28
jaxen.csv,0.96,0.5,0.67,0.83,0.51,0.1,0.43,0.73,0.7,0.8,0.93,0.72,0.65,0.65
jgameai.csv,0.0,0.25,0.14,0.43,0.99,0.52,0.31,0.12,0.31,0.26,0.13,0.04,0.16,0.01
jparsec.csv,0.67,1.0,0.6,0.37,1.0,0.51,0.94,0.49,0.92,0.76,0.9,0.7,0.9,0.23
motu.csv,0.21,1.0,0.7,0.13,0.03,0.98,0.43,0.88,0.36,0.26,0.57,0.75,0.46,0.9
vars-redux.csv,0.4,0.75,0.58,0.32,0.09,0.24,0.2,0.39,0.48,0.5,0.53,0.88,0.53,0.78
werx.csv,0.99,0.0,1.0,0.98,1.0,0.84,0.94,0.9,1.0,0.96,1.0,0.96,0.99,1.0
wishmaster.csv,0.36,0.0,0.14,0.05,0.0,0.15,0.06,0.75,0.31,0.02,0.13,0.33,0.3,0.07
xreal.csv,0.13,0.0,0.25,0.14,0.04,0.0,0.09,0.24,0.05,0.15,0.13,0.28,0.02,0.03
zealos.csv,0.16,0.25,0.15,0.11,0.35,0.12,0.06,0.36,0.07,0.17,0.33,0.04,0.35,0.28
