,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.59,0.46,1.0,0.42,0.13,0.2,0.46,0.73,0.57,0.38,0.76,0.12,0.4,0.33
baadengine.csv,0.8,0.3,1.0,0.38,1.0,1.0,0.92,0.98,0.93,0.77,1.0,1.0,1.0,0.8
bnetd.csv,0.45,0.95,1.0,0.54,0.33,0.8,0.72,0.84,0.29,0.54,0.86,0.88,1.0,0.51
impala.csv,0.03,0.14,1.0,0.85,0.3,0.4,0.46,0.02,0.43,0.08,0.19,0.6,1.0,0.24
jaxen.csv,0.96,0.78,1.0,0.73,0.73,1.0,0.49,0.76,0.86,0.92,0.95,0.8,1.0,0.51
jgameai.csv,0.01,0.03,0.0,0.62,0.97,0.2,0.26,0.1,0.43,0.08,0.05,0.08,0.0,0.0
jparsec.csv,0.88,0.3,1.0,0.38,1.0,0.6,1.0,0.65,0.86,0.85,0.67,0.64,1.0,0.76
motu.csv,0.41,0.82,1.0,0.15,0.03,0.8,0.64,0.92,0.29,0.62,0.57,0.76,0.6,0.87
vars-redux.csv,0.62,0.21,1.0,0.15,0.3,0.6,0.41,0.73,0.57,0.62,0.62,0.96,1.0,0.69
werx.csv,0.99,0.96,1.0,1.0,1.0,1.0,0.87,0.84,1.0,0.92,0.95,0.96,1.0,1.0
wishmaster.csv,0.14,0.07,0.0,0.0,0.0,0.2,0.18,0.8,0.71,0.15,0.19,0.36,1.0,0.18
xreal.csv,0.06,0.12,0.0,0.15,0.03,0.0,0.13,0.1,0.0,0.08,0.0,0.52,1.0,0.04
zealos.csv,0.29,0.32,0.0,0.23,0.73,0.0,0.1,0.2,0.14,0.31,0.52,0.0,0.6,0.33
