,baadengine.csv,werx.csv,plog4u.csv,jgameai.csv,zealos.csv,jaxen.csv,bnetd.csv,vars-redux.csv,wishmaster.csv,motu.csv,all-plasm.csv,impala.csv,xreal.csv,jparsec.csv
all-plasm.csv,0.68,0.62,0.05,0.35,0.17,0.11,0.52,0.56,0.32,0.29,0.74,0.09,0.05,0.31
baadengine.csv,0.86,0.46,0.02,0.31,0.47,0.15,0.66,0.64,0.31,0.35,0.59,0.22,0.07,0.67
bnetd.csv,0.55,0.97,0.03,0.38,0.36,0.09,0.77,0.59,0.21,0.42,0.54,0.22,0.09,0.4
impala.csv,0.05,0.25,0.07,0.49,0.34,0.08,0.55,0.04,0.24,0.11,0.21,0.33,0.2,0.29
jaxen.csv,0.84,0.87,0.03,0.39,0.51,0.56,0.52,0.55,0.35,0.39,0.58,0.23,0.08,0.41
jgameai.csv,0.03,0.05,0.0,0.46,0.46,0.04,0.33,0.16,0.31,0.08,0.08,0.12,0.0,0.0
jparsec.csv,0.84,0.45,0.03,0.34,0.47,0.12,0.7,0.56,0.29,0.37,0.45,0.19,0.06,0.72
motu.csv,0.55,0.89,0.03,0.21,0.06,0.09,0.63,0.59,0.2,0.48,0.48,0.21,0.07,0.53
vars-redux.csv,0.71,0.35,0.03,0.16,0.4,0.21,0.52,0.65,0.31,0.36,0.52,0.23,0.1,0.48
werx.csv,0.85,0.98,0.02,0.46,0.47,0.13,0.64,0.55,0.31,0.35,0.56,0.21,0.05,0.57
wishmaster.csv,0.22,0.13,0.0,0.0,0.0,0.11,0.29,0.57,0.47,0.25,0.28,0.19,0.16,0.28
xreal.csv,0.12,0.21,0.0,0.21,0.06,0.0,0.21,0.14,0.0,0.1,0.0,0.29,0.77,0.08
zealos.csv,0.44,0.49,0.0,0.31,0.58,0.0,0.18,0.24,0.2,0.32,0.52,0.0,0.08,0.38
