,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.62,0.42,0.41,0.58,0.96,0.57,0.56,0.77,0.56,0.82,0.67,0.44,0.51,0.37,0.75,0.52,0.5,0.53
aztec.csv,0.94,0.59,0.62,0.7,0.8,0.52,0.49,0.88,0.56,0.89,0.6,0.38,0.52,0.44,0.95,0.5,0.64,0.75
bibedt.csv,0.47,0.42,0.59,0.89,0.93,0.47,0.39,0.82,0.93,0.39,0.74,0.45,0.42,0.37,0.58,0.52,0.88,0.8
esmf.csv,0.55,0.52,0.56,0.59,0.47,0.39,0.49,0.41,0.35,0.39,0.45,0.88,0.4,0.48,0.39,0.54,0.36,0.96
irrlicht.csv,0.43,0.4,0.36,0.52,0.43,0.4,0.35,0.39,0.35,0.34,0.51,0.37,0.38,0.34,0.39,0.0,0.32,0.45
jstock.csv,0.83,0.78,0.55,0.86,0.73,0.45,0.43,0.38,0.39,0.9,0.59,0.96,0.63,0.55,0.71,0.68,0.63,0.94
kowari.csv,0.49,0.81,0.47,0.51,0.43,0.45,0.49,0.4,0.6,0.52,0.48,0.55,0.51,0.86,0.4,0.81,0.35,0.87
lportal.csv,0.94,0.86,0.8,0.0,0.0,0.0,0.93,0.0,0.0,0.75,0.92,0.94,0.0,0.55,0.0,0.72,0.0,0.67
modellus.csv,0.46,0.46,0.52,0.8,0.97,0.61,0.54,0.5,0.65,0.83,0.67,0.42,0.39,0.39,0.95,0.43,0.88,0.61
open-data-kit.csv,0.68,0.39,0.43,0.59,0.43,0.36,0.38,0.39,0.48,0.63,0.46,0.39,0.49,0.35,0.38,0.4,0.48,0.53
pentahoanalysistool.csv,0.56,0.54,0.4,0.67,0.97,0.69,0.63,0.7,0.5,0.38,0.91,0.48,0.47,0.55,0.8,0.61,0.39,0.5
phet.csv,0.67,0.96,0.88,0.58,0.46,0.61,0.96,0.43,0.94,0.45,0.76,0.71,0.54,0.9,0.47,0.99,0.4,0.75
qtractor.csv,0.54,0.43,0.46,0.68,0.57,0.48,0.37,0.73,0.45,0.66,0.55,0.4,0.44,0.37,0.73,0.42,0.53,0.5
roller.csv,0.45,0.39,0.45,0.55,0.43,0.42,0.36,0.41,0.36,0.36,0.49,0.36,0.4,0.44,0.45,0.4,0.33,0.48
sumatrapdf.csv,0.42,0.41,0.38,0.74,0.4,0.38,0.35,0.39,0.35,0.59,0.48,0.41,0.39,0.35,0.43,0.39,0.37,0.51
synergyspace.csv,0.95,0.57,0.55,0.87,0.92,0.93,0.47,0.89,0.94,0.5,0.97,0.52,0.65,0.92,0.83,0.52,0.52,0.69
ultimairis.csv,0.83,0.39,0.37,0.67,0.97,0.48,0.35,0.75,0.45,0.34,0.45,0.39,0.44,0.57,0.63,0.38,0.5,0.46
voms.csv,0.58,0.43,0.61,0.76,0.75,0.56,0.39,0.75,0.37,0.75,0.71,0.71,0.78,0.38,0.93,0.41,0.8,0.72
