,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.1,0.37,0.16,0.16,0.04,0.59,0.35,0.0,0.06,0.0,0.0,0.4,0.1
biopax.csv,0.0,0.0,0.4,0.24,0.58,0.0,0.17,0.0,0.59,0.0,0.17,0.0,0.74
gdis.csv,0.6,0.52,0.63,0.58,0.64,0.66,0.37,0.54,0.89,0.0,0.52,0.49,0.75
kml.csv,0.63,0.05,0.48,0.47,0.74,0.2,0.05,0.09,0.71,0.13,0.24,0.0,0.0
ppcboot.csv,0.17,0.3,0.43,0.63,0.35,0.38,0.55,0.27,0.46,0.0,0.0,0.0,0.36
repositorium.csv,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.28,0.0,0.65,0.06,0.34,0.1
rsyslog.csv,0.73,0.37,0.66,0.66,0.41,0.27,0.37,0.43,0.64,0.0,0.32,0.0,0.52
simplewebservices.csv,0.39,0.36,0.71,0.13,0.43,0.35,0.6,0.63,0.71,0.0,0.57,0.55,0.46
ultimairis.csv,0.72,0.0,0.71,0.51,0.57,0.11,0.64,0.63,0.56,0.0,0.27,0.58,0.56
wow-qrsk.csv,0.0,0.53,0.65,0.0,0.0,0.0,0.0,0.15,0.0,0.69,0.0,0.09,0.32
wxstudio.csv,0.49,0.26,0.28,0.2,0.43,0.56,0.44,0.0,0.33,0.0,0.61,0.04,0.17
xbg.csv,0.46,0.02,0.25,0.61,0.28,0.31,0.34,0.15,0.35,0.0,0.4,0.63,0.13
xqilla.csv,0.05,0.38,0.6,0.02,0.07,0.28,0.37,0.0,0.11,0.0,0.4,0.06,0.09
