,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.9,1.05,0.88,0.83,0.76,0.58,0.92,0.01,0.91,1.02,0.59,1.05
ivatamasks.csv,0.57,0.27,0.87,0.01,0.84,0.64,0.85,0.94,0.44,0.75,0.65,1.0
orc.csv,1.05,0.91,0.06,0.96,0.79,0.88,0.77,0.92,0.97,1.02,0.77,0.8
plato.csv,1.11,1.01,0.89,1.0,0.96,0.25,1.0,0.81,1.0,0.92,0.95,0.86
proftp.csv,0.66,0.79,0.59,0.65,0.76,0.81,0.07,0.74,0.77,0.23,0.72,0.93
tycho.csv,0.78,0.74,0.9,0.92,0.72,0.81,0.94,0.85,0.06,1.07,0.66,0.74
uclmda.csv,0.8,1.01,0.8,0.66,0.76,0.8,0.95,0.97,1.0,0.68,0.7,0.0
umber.csv,0.0,0.77,0.84,0.74,0.87,0.89,1.0,0.89,0.9,1.0,0.96,0.9
unicase.csv,0.6,0.3,0.58,0.75,0.7,0.67,0.68,0.73,0.56,0.62,0.03,1.11
vienna-add-in.csv,0.32,1.0,0.68,0.8,0.03,0.8,0.65,1.0,0.76,0.35,0.71,0.71
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,0.87,1.0,1.0,1.0,1.0,1.0
