,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.46,0.3,0.29,0.18,0.35,0.96,0.36,0.34,0.58,0.43,0.61,0.37,0.59
grafx2.csv,0.58,0.31,0.18,0.36,0.42,0.56,0.64,0.4,1.0,0.77,0.46,0.46,0.56
jahshakafx.csv,0.99,0.29,0.24,0.14,0.25,0.45,0.39,0.27,0.16,0.53,0.39,0.31,0.52
kftpgrabber.csv,0.46,0.33,0.2,0.34,0.56,0.44,0.37,0.33,0.64,0.8,0.98,0.42,0.63
kindb.csv,0.67,0.33,0.22,0.4,0.59,0.54,0.65,0.53,0.76,0.99,0.61,0.5,0.68
maya-work-in-progress.csv,0.61,0.26,0.14,0.37,0.8,0.51,0.98,0.54,0.77,0.8,0.53,0.52,0.64
netatalk.csv,0.64,0.32,0.23,0.34,0.54,0.54,0.47,0.53,0.61,0.6,0.67,1.0,0.48
nullc.csv,0.4,0.18,0.11,0.22,0.99,0.45,0.52,0.4,0.76,0.87,0.49,0.41,0.58
plee-the-bear.csv,0.14,0.12,0.88,0.07,0.7,0.3,0.41,0.3,0.08,0.34,0.2,0.2,0.44
reaper-ecad.csv,0.32,0.08,0.12,0.98,0.64,0.35,0.52,0.2,0.37,0.66,0.33,0.3,0.52
unimrcp.csv,0.56,0.3,0.25,0.32,0.35,0.35,0.33,0.98,0.45,0.49,0.51,0.53,0.31
unladen-swallow.csv,0.1,0.61,0.07,0.09,0.43,0.25,0.46,0.22,0.33,0.67,0.15,0.19,0.32
xmoto.csv,0.48,0.28,0.14,0.32,0.64,0.56,0.53,0.43,0.63,0.76,0.53,0.47,1.0
