,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.95,0.49,0.72,0.62,0.97,0.68,0.51,0.37,0.75,0.96,0.59,0.67
ivatamasks.csv,0.38,0.42,0.34,0.43,0.42,0.45,0.44,0.32,0.46,0.39,0.38,0.27
orc.csv,0.81,0.92,0.93,0.75,0.77,0.46,0.89,0.9,0.0,0.96,0.81,0.97
plato.csv,0.4,0.44,0.31,0.44,0.44,0.43,0.41,0.62,0.4,0.39,0.42,0.34
proftp.csv,0.72,0.69,0.5,0.64,0.81,0.53,0.46,0.77,0.83,0.68,0.59,0.96
tycho.csv,0.7,0.69,0.42,0.52,0.59,0.79,0.94,0.49,0.58,0.66,0.51,0.87
uclmda.csv,0.47,0.46,0.33,0.45,0.44,0.45,0.51,0.3,0.4,0.38,0.44,0.26
umber.csv,0.58,0.97,0.88,0.75,0.92,0.88,0.0,0.38,0.88,0.89,0.98,0.97
unicase.csv,0.5,0.37,0.43,0.51,0.57,0.41,0.67,0.49,0.58,0.45,0.44,0.8
vienna-add-in.csv,0.55,0.42,0.58,0.46,0.54,0.67,0.56,0.29,0.59,0.62,0.61,0.31
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.39,0.38,0.29,0.4,0.36,0.39,0.26
