,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.14,0.98,0.06,0.62,0.7,0.95,0.4,1.0,0.75,0.0,0.8,0.33
ivatamasks.csv,0.35,1.0,0.09,1.0,0.63,0.86,0.46,0.7,0.72,0.01,0.76,0.96
orc.csv,0.04,1.0,1.0,1.0,0.61,0.85,0.78,0.8,1.0,0.0,0.69,1.0
plato.csv,0.13,0.98,0.11,0.67,0.66,0.95,0.44,0.66,0.55,0.01,0.72,0.96
proftp.csv,0.39,1.0,0.14,0.9,0.72,0.8,1.0,0.87,0.56,0.04,0.8,0.92
tycho.csv,0.22,0.98,0.06,0.62,0.67,0.79,0.24,0.64,1.0,0.0,0.76,0.98
uclmda.csv,0.21,0.98,0.1,0.71,0.63,0.8,0.38,0.72,0.56,0.01,0.73,1.0
umber.csv,1.0,1.0,0.09,0.72,0.92,0.75,0.0,0.69,0.5,0.0,0.55,0.93
unicase.csv,0.32,1.0,0.14,0.69,0.68,0.85,0.67,0.71,0.69,0.01,0.99,0.4
vienna-add-in.csv,0.52,0.98,0.12,0.69,0.99,0.83,0.52,0.72,0.52,0.02,0.72,0.97
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.83,0.48,0.72,0.56,0.01,0.72,0.96
