,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.33,1.0,0.34,0.68,0.24,0.12,0.86,0.0,0.04,0.22,0.33,0.33
ivatamasks.csv,0.56,0.0,0.83,0.0,0.76,0.5,0.84,0.92,0.39,0.75,0.57,1.0
orc.csv,0.45,0.0,0.0,0.0,0.41,0.88,0.05,0.05,0.0,0.21,0.44,0.0
plato.csv,0.95,1.0,0.89,1.0,0.95,0.25,1.0,0.42,1.0,0.92,0.94,0.83
proftp.csv,0.2,0.0,0.39,0.09,0.22,0.38,0.0,0.11,0.29,0.23,0.2,0.33
tycho.csv,0.38,0.5,0.64,0.85,0.39,0.5,0.35,0.63,0.0,0.38,0.59,0.17
uclmda.csv,0.55,1.0,0.74,0.53,0.46,0.5,0.89,0.97,1.0,0.68,0.46,0.0
umber.csv,0.0,0.0,0.21,0.23,0.02,0.25,0.0,0.84,0.14,0.08,0.1,0.33
unicase.csv,0.47,0.0,0.53,0.7,0.41,0.5,0.14,0.55,0.29,0.62,0.03,0.5
vienna-add-in.csv,0.27,1.0,0.38,0.79,0.02,0.25,0.32,1.0,0.5,0.35,0.44,0.67
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,1.0
