,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.7,0.77,0.68,0.86,0.57,0.13,0.54,0.29,0.35,0.79,0.6,0.87
gamestone.csv,0.0,0.19,0.1,0.4,0.24,0.09,0.48,0.11,0.15,0.23,0.2,0.61
gbif-providertoolkit.csv,0.85,0.42,0.48,0.32,0.27,0.0,0.52,0.71,0.38,0.5,1.0,0.13
heekscad.csv,0.26,0.27,0.3,0.44,0.54,0.35,0.7,0.54,0.42,0.79,0.5,0.68
igarden.csv,0.17,0.31,0.03,0.32,0.16,0.09,0.2,0.07,0.04,0.25,0.2,0.74
levent.csv,0.19,0.02,0.0,0.0,0.64,0.26,0.07,0.0,0.0,0.0,0.0,0.0
libmesh.csv,0.64,0.12,0.55,0.47,0.15,0.0,0.35,0.53,0.38,0.15,0.6,0.03
openmsx.csv,0.89,0.9,0.25,0.76,0.58,0.91,0.83,0.29,0.27,0.04,0.7,0.0
pnotepad.csv,0.21,0.65,0.73,0.97,0.9,0.48,0.65,0.72,0.62,1.0,0.0,0.87
quark.csv,0.06,0.02,0.06,0.06,0.09,0.0,0.17,0.04,0.0,0.25,0.0,0.39
tango-cs.csv,0.96,0.83,0.83,0.99,0.9,0.3,0.5,0.96,0.85,1.0,0.8,0.35
xcsoar.csv,0.19,0.15,0.24,0.53,0.34,0.22,0.48,0.36,0.31,1.0,0.0,0.46
