,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.27,0.07,0.09,0.3,0.0,0.19,0.19,0.28,0.13,0.37,0.28,0.11,0.0,0.14,0.41,0.06,0.03
amygdala.csv,0.6,0.07,0.21,0.18,0.0,0.48,0.54,0.7,0.46,0.76,0.46,0.0,0.42,0.35,0.59,0.5,0.09
awemud.csv,0.0,0.4,0.32,0.56,0.44,0.38,0.27,0.42,0.35,0.1,0.56,0.23,0.19,0.24,0.62,0.33,0.28
bullet.csv,0.8,0.6,0.88,0.01,0.22,0.05,0.84,0.28,0.24,0.8,0.53,0.71,0.41,0.57,0.0,0.67,0.51
customwars.csv,0.07,0.27,0.48,0.23,0.56,0.67,0.27,0.2,0.04,0.02,0.0,0.2,0.48,0.14,0.17,0.06,0.31
dvd-create.csv,0.87,0.84,0.71,0.82,0.0,0.52,0.88,0.58,0.56,0.61,0.78,0.71,0.68,0.63,0.79,0.72,0.57
gbif-indexingtoolkit.csv,0.03,0.42,0.21,0.61,0.22,0.29,0.06,0.0,0.23,0.0,0.15,0.09,0.19,0.0,0.07,0.17,0.28
go.csv,0.63,0.02,0.52,0.46,0.44,0.29,0.69,0.76,0.57,0.07,0.89,0.6,0.54,0.63,0.76,0.56,0.32
growl-for-windows.csv,0.43,0.38,0.68,0.26,0.56,0.62,0.42,0.6,0.24,0.0,0.66,0.4,0.56,0.35,0.45,0.0,0.4
kwave.csv,0.5,0.76,0.0,0.91,0.5,0.33,0.56,0.46,0.45,0.17,0.61,0.4,0.6,0.24,0.45,0.61,0.75
libarchive.csv,0.47,0.42,0.46,0.01,0.22,0.29,0.37,0.46,0.42,0.0,0.62,0.46,0.42,0.47,0.31,0.39,0.0
linux-ntfs.csv,0.27,0.27,0.71,0.39,0.28,0.48,0.37,0.3,0.25,0.37,0.35,0.4,0.56,0.22,0.03,0.39,0.37
lsb.csv,0.6,0.53,0.7,0.01,0.33,0.43,0.8,0.52,0.49,0.0,0.86,0.51,0.68,0.57,0.59,0.89,0.28
mpgravity.csv,0.27,0.31,0.54,0.7,0.5,0.38,0.49,0.68,0.4,0.0,0.53,0.34,0.52,0.41,0.48,0.11,0.5
qcad2.csv,0.23,0.76,0.55,0.27,0.67,0.1,0.0,0.36,0.12,0.49,0.25,0.49,0.55,0.06,0.38,0.61,0.71
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roller.csv,0.53,0.24,0.21,0.36,0.56,0.14,0.4,0.34,0.54,0.27,0.45,0.31,0.49,0.0,0.45,0.5,0.35
