,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,1.0,0.0,4.0,1.0,0.0,1.0,7.0,9.0,32.0,8.0,14.0,0.0,1.0,0.0,2.0,0.0,1.0
amygdala.csv,2.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,783.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0
awemud.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,540.0,4.0,7.0,2.0,2.0,0.0,2.0,3.0,1.0
bullet.csv,1.0,2.0,4.0,0.0,0.0,1.0,12.0,13.0,449.0,15.0,12.0,0.0,41.0,2.0,0.0,1.0,3.0
customwars.csv,0.0,2.0,12.0,22.0,0.0,2.0,7.0,0.0,2488.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
dvd-create.csv,2.0,3.0,0.0,1.0,0.0,0.0,9.0,3.0,870.0,1.0,18.0,3.0,1.0,3.0,2.0,0.0,5.0
gbif-indexingtoolkit.csv,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,442.0,52.0,1.0,1.0,12.0,0.0,0.0,0.0,2.0
go.csv,0.0,0.0,1.0,0.0,0.0,0.0,22.0,2.0,926.0,0.0,1.0,1.0,14.0,0.0,0.0,4.0,1.0
growl-for-windows.csv,0.0,3.0,12.0,23.0,0.0,3.0,7.0,8.0,208.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0
kwave.csv,1.0,3.0,0.0,1.0,0.0,3.0,6.0,11.0,998.0,6.0,3.0,0.0,41.0,1.0,1.0,3.0,5.0
libarchive.csv,0.0,3.0,0.0,1.0,1.0,0.0,5.0,3.0,588.0,52.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
linux-ntfs.csv,0.0,2.0,5.0,13.0,0.0,2.0,12.0,3.0,202.0,4.0,5.0,0.0,2.0,1.0,0.0,5.0,2.0
lsb.csv,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,690.0,52.0,16.0,6.0,17.0,0.0,0.0,1.0,0.0
mpgravity.csv,1.0,1.0,2.0,4.0,0.0,0.0,11.0,6.0,635.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0
qcad2.csv,0.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,128.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,13.0
qtwin.csv,107.0,123.0,71.0,181.0,91.0,87.0,144.0,60.0,0.0,52.0,111.0,72.0,367.0,125.0,54.0,53.0,116.0
roller.csv,2.0,1.0,0.0,1.0,0.0,0.0,17.0,5.0,928.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0
