,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.51,0.34,0.15,0.25,0.22,0.19,0.27,0.31,0.7,0.28,0.28,0.28,0.93,0.56,0.3,0.44,0.34
amygdala.csv,0.48,0.26,0.54,0.35,0.13,0.51,0.57,0.41,0.75,0.59,0.43,1.0,0.35,0.67,0.56,0.35,0.26
awemud.csv,0.98,0.55,0.42,0.41,0.64,0.34,0.64,0.3,0.79,0.1,0.73,0.43,0.66,0.49,0.57,0.25,0.49
bullet.csv,0.5,0.7,0.32,0.55,0.47,0.99,0.45,0.21,0.69,0.42,0.52,0.63,0.62,0.46,0.05,0.52,0.68
customwars.csv,0.25,0.23,0.34,0.57,0.4,0.4,0.31,0.67,0.0,0.2,1.0,0.25,0.68,0.2,0.62,0.58,0.5
dvd-create.csv,0.39,0.47,0.63,0.44,0.98,0.72,0.4,0.64,0.8,0.63,0.51,0.63,0.44,0.53,0.53,0.45,0.69
gbif-indexingtoolkit.csv,0.25,0.22,0.29,0.57,0.18,0.29,0.18,0.93,0.37,0.0,0.28,0.1,0.37,0.09,0.18,0.54,0.41
go.csv,0.65,0.99,0.5,0.59,0.61,0.67,0.65,0.58,0.79,0.38,0.38,0.66,0.68,0.64,0.57,0.55,0.69
growl-for-windows.csv,0.68,0.57,0.45,0.51,0.55,0.58,0.63,0.57,0.81,0.2,0.61,0.47,0.69,0.65,0.57,1.0,0.62
kwave.csv,0.55,0.58,0.95,0.32,0.77,0.44,0.56,0.47,0.64,0.2,0.49,0.61,0.6,0.52,0.26,0.41,0.58
libarchive.csv,0.58,0.64,0.51,0.16,0.47,0.59,0.66,0.62,0.87,0.0,0.53,0.65,0.72,0.66,0.63,0.72,0.92
linux-ntfs.csv,0.57,0.54,0.47,0.62,0.58,0.57,0.45,0.65,0.94,0.36,0.6,0.47,0.63,0.47,0.96,0.34,0.51
lsb.csv,0.66,0.7,0.48,0.77,0.6,0.71,0.55,0.6,0.84,0.0,0.43,0.65,0.66,0.71,0.61,0.32,0.65
mpgravity.csv,0.61,0.5,0.33,0.49,0.58,0.54,0.64,0.53,0.77,1.0,0.71,0.41,0.73,0.65,0.73,0.72,0.69
qcad2.csv,0.4,0.47,0.58,0.4,0.5,0.28,0.98,0.39,0.38,0.44,0.56,0.36,0.47,0.27,0.45,0.55,0.57
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roller.csv,0.47,0.38,0.48,0.62,0.55,0.28,0.46,0.4,0.71,0.53,0.58,0.56,0.71,1.0,0.41,0.34,0.67
