,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.02,0.0,0.07,0.11,0.12,0.91,0.0,0.09,0.0,0.03,0.09,0.04,0.03
badtrinity-zero.csv,0.3,0.34,0.99,0.47,0.51,0.13,0.1,0.51,0.21,0.63,0.87,0.22,0.56
bibletime.csv,0.56,0.56,0.66,0.52,0.49,0.19,0.13,0.77,0.18,1.0,0.37,0.76,0.61
critterding.csv,0.54,1.0,0.62,0.46,0.45,0.14,0.16,0.7,0.11,0.79,0.9,0.71,0.56
elateportal.csv,0.56,0.61,0.48,0.52,0.51,0.18,0.13,0.82,0.0,0.77,1.0,0.81,0.6
fmri-dmt.csv,0.02,0.0,0.07,0.12,0.11,0.12,0.13,0.06,0.91,0.14,0.0,0.14,0.14
ftm.csv,0.42,0.41,0.41,0.26,0.37,0.18,0.16,0.35,0.0,0.42,0.0,0.32,0.97
gusanos.csv,0.53,0.55,0.6,0.49,0.35,0.16,0.13,1.0,0.18,0.75,0.69,0.71,0.56
monetdb.csv,0.41,0.53,0.42,0.31,0.92,0.15,0.06,0.5,0.2,0.4,0.91,0.36,0.48
quarkplayer.csv,0.04,0.11,0.07,0.07,0.11,0.0,0.95,0.18,0.18,0.16,0.0,0.0,0.09
reactos-mirror.csv,0.97,0.52,0.59,0.4,0.41,0.11,0.18,0.81,0.18,0.73,0.94,0.84,0.5
sandiaportals.csv,0.52,0.57,0.63,0.56,0.44,0.14,0.15,0.82,0.13,0.85,0.32,0.99,0.55
xbplayer.csv,0.21,0.51,0.4,0.98,0.31,0.29,0.12,0.44,0.11,0.3,0.04,0.26,0.42
