,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.94,0.0,0.67,0.92,0.8,0.9,0.86,0.67,0.0,0.0,0.5,0.0,0.75
badtrinity-zero.csv,0.77,0.6,0.54,0.43,0.38,0.41,0.48,0.55,0.45,0.46,0.36,0.91,0.51
bibletime.csv,0.44,0.44,0.42,0.39,0.34,0.42,0.42,0.41,0.28,0.39,0.6,0.37,0.38
critterding.csv,0.5,0.62,0.51,0.49,0.57,0.66,0.78,0.5,0.36,0.45,0.33,0.53,0.59
elateportal.csv,0.38,0.43,0.49,0.42,0.38,0.4,0.39,0.43,0.76,0.36,0.3,0.39,0.36
fmri-dmt.csv,0.94,0.0,0.83,0.83,0.83,0.75,0.75,0.5,0.8,0.83,0.0,0.83,0.9
ftm.csv,0.82,0.93,0.91,0.96,0.71,0.9,0.93,0.94,0.92,0.74,0.0,0.9,0.55
gusanos.csv,0.42,0.49,0.4,0.36,0.4,0.47,0.42,0.42,0.31,0.35,0.38,0.36,0.33
monetdb.csv,0.65,0.74,0.65,0.81,0.61,0.79,0.67,0.74,0.79,0.91,0.35,0.85,0.63
quarkplayer.csv,0.93,0.67,0.83,0.92,0.89,0.8,0.9,0.9,0.8,0.86,0.0,0.0,0.88
reactos-mirror.csv,0.64,0.59,0.5,0.57,0.67,0.86,0.55,0.4,0.36,0.53,0.3,0.46,0.49
sandiaportals.csv,0.5,0.53,0.44,0.38,0.4,0.56,0.56,0.37,0.39,0.37,0.62,0.43,0.4
xbplayer.csv,0.99,0.52,0.73,0.65,0.91,0.94,0.6,0.62,0.77,0.92,0.0,0.88,0.54
