,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.99,1.0,0.96,0.94,0.94,0.17,1.0,0.96,1.0,0.98,0.95,0.98,0.98
badtrinity-zero.csv,0.8,0.8,0.01,0.57,0.56,0.72,0.75,0.66,0.57,0.56,0.53,0.9,0.6
bibletime.csv,0.63,0.74,0.61,0.69,0.8,0.72,0.75,0.62,0.87,0.0,1.0,0.71,0.78
critterding.csv,0.68,0.0,0.57,0.7,0.62,0.73,0.59,0.59,0.91,0.75,0.68,0.65,0.7
elateportal.csv,0.85,1.0,0.69,0.82,0.6,0.71,0.69,0.9,1.04,0.58,0.0,0.84,0.79
fmri-dmt.csv,0.99,1.0,0.96,0.93,0.94,0.92,0.91,0.97,0.17,0.93,1.01,0.93,0.92
ftm.csv,0.69,0.72,0.72,0.81,0.71,0.84,0.68,0.78,1.02,0.73,1.0,0.81,0.05
gusanos.csv,0.67,0.71,0.68,0.62,0.84,0.64,0.67,0.0,0.76,0.72,0.56,0.65,0.71
monetdb.csv,0.71,0.64,0.71,0.8,0.11,0.72,0.91,0.85,0.69,0.81,0.16,0.78,0.69
quarkplayer.csv,0.98,0.94,0.96,0.96,0.94,1.0,0.09,0.9,0.84,0.91,1.01,1.0,0.95
reactos-mirror.csv,0.05,0.62,0.7,0.7,0.67,0.8,0.6,0.41,0.74,0.57,1.0,0.73,0.73
sandiaportals.csv,0.66,0.57,0.62,0.57,0.78,0.69,0.6,0.36,0.79,0.47,1.04,0.06,0.76
xbplayer.csv,0.87,0.61,0.73,0.05,0.81,0.67,0.76,0.71,0.86,0.82,0.98,0.85,0.7
