,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv
acegisecurity.csv,0.55,1.0,0.18,0.53,0.48,0.09,0.31,0.12,0.81
gdis.csv,0.67,0.29,0.2,0.59,0.54,0.12,0.28,0.18,1.0
kml.csv,0.69,0.4,0.27,0.6,0.97,0.2,0.44,0.21,0.81
ppcboot.csv,0.58,0.4,0.26,0.98,0.61,0.21,0.55,0.08,0.83
repositorium.csv,0.5,0.3,0.14,0.52,0.52,0.91,0.33,0.12,0.85
rsyslog.csv,1.0,0.39,0.37,0.68,0.65,0.17,0.4,0.14,0.83
ultimairis.csv,0.48,0.31,0.21,0.51,0.52,0.11,0.98,0.12,0.81
wow-qrsk.csv,0.5,0.31,0.97,0.55,0.5,0.0,0.5,0.1,0.84
xbg.csv,1.0,0.75,0.6,0.73,0.91,0.0,0.2,1.0,0.86
