,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.8,0.96,0.77,0.14,0.69,0.52,0.67,0.89,0.87,0.98,0.95,0.82,0.53,0.74,0.7,0.64,0.64,0.87
betoffice.csv,0.92,0.88,0.9,0.96,0.64,0.96,0.83,0.05,0.95,0.82,0.93,0.86,1.01,0.88,0.84,0.98,0.91,0.87
bionote.csv,0.73,0.86,0.9,1.0,0.85,0.91,0.9,0.98,0.61,0.97,0.95,0.98,0.12,0.73,0.61,0.97,0.97,0.91
bnetd.csv,0.69,1.0,0.63,0.55,0.24,0.64,0.77,0.89,0.62,0.6,0.04,1.0,0.67,0.59,0.9,0.88,0.66,0.73
elvishrayrenderer.csv,0.69,0.77,0.77,0.7,0.93,0.63,0.7,0.87,0.69,0.69,0.69,0.79,0.58,0.8,0.57,0.77,0.72,0.0
emisview.csv,0.7,1.0,0.67,0.7,0.61,0.09,0.96,0.91,0.64,1.0,1.0,0.81,0.6,0.64,0.88,0.91,0.72,0.91
findbugs.csv,0.7,0.84,0.99,0.77,0.93,0.7,0.82,0.77,0.6,0.59,0.79,0.78,0.33,0.69,0.07,1.0,0.83,0.73
hazelcast.csv,0.84,0.55,0.5,0.68,0.0,0.98,0.91,0.82,0.91,0.64,0.59,1.0,0.91,0.75,0.88,0.69,0.76,0.67
jitterbit.csv,0.75,0.59,0.89,0.66,0.65,0.54,0.93,0.92,0.04,0.94,0.59,0.81,0.51,0.66,0.56,1.06,0.63,0.79
jppf-project.csv,0.92,1.0,0.93,1.0,0.73,0.97,0.92,0.98,1.02,1.0,1.0,0.0,0.85,0.76,0.92,0.68,0.76,1.0
kolmafia.csv,0.77,0.7,0.66,0.59,0.42,0.58,0.89,0.8,0.55,0.68,0.87,0.33,0.49,0.03,0.72,0.92,0.5,0.55
megasquirtavr.csv,0.75,1.0,0.35,1.0,0.7,1.0,0.91,0.77,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.96,1.0
qedo.csv,1.0,0.96,1.0,0.91,0.96,1.0,0.94,0.96,0.92,0.99,0.92,0.97,1.01,0.96,0.97,0.09,1.0,0.96
stajistics.csv,0.66,0.95,0.75,0.77,0.4,0.64,0.81,0.83,0.66,1.05,0.68,0.95,0.66,0.71,0.79,0.84,0.07,0.58
trackit.csv,0.7,0.88,1.0,0.69,0.62,0.8,0.07,0.98,0.86,0.62,0.82,0.77,0.91,0.75,0.61,0.91,0.64,0.78
wxlua.csv,0.94,1.0,0.85,0.87,1.01,0.8,0.79,0.78,0.71,0.13,1.0,0.62,0.87,0.79,0.83,0.8,0.86,0.74
x4x.csv,0.0,0.85,0.77,0.65,0.91,0.67,0.67,0.78,0.91,0.76,0.84,0.66,0.81,0.85,0.84,0.69,0.77,0.88
xharbour.csv,1.0,0.05,0.76,0.86,1.0,0.89,0.91,0.94,0.93,0.87,1.0,0.9,0.91,0.92,0.89,0.95,0.99,0.9
