,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.17,0.11,0.53,0.0,0.0,0.21,0.13,0.22,0.08,0.0,0.0,0.5,0.17,0.15,0.18,0.04,0.29,0.17
betoffice.csv,0.25,0.11,0.04,0.13,0.1,0.08,0.22,0.02,0.28,0.12,0.09,0.12,0.13,0.13,0.18,0.37,0.29,0.17
bionote.csv,0.17,0.0,0.0,0.04,0.4,0.04,0.04,0.02,0.06,0.0,0.03,0.0,0.0,0.08,0.09,0.18,0.09,0.06
bnetd.csv,0.67,1.0,0.52,0.5,0.0,0.6,0.39,0.89,0.59,0.38,0.03,1.0,0.67,0.59,0.87,0.87,0.61,0.72
elvishrayrenderer.csv,0.5,0.68,0.41,0.57,0.8,0.45,0.57,0.53,0.54,0.62,0.43,0.75,0.44,0.79,0.49,0.59,0.52,0.0
emisview.csv,0.33,0.0,0.18,0.28,0.1,0.02,0.09,0.07,0.1,0.12,0.0,0.38,0.33,0.59,0.4,0.08,0.16,0.0
findbugs.csv,0.33,0.79,0.82,0.43,0.6,0.25,0.13,0.69,0.25,0.5,0.69,0.12,0.31,0.21,0.02,0.42,0.39,0.5
hazelcast.csv,0.83,0.47,0.3,0.67,0.0,0.98,0.87,0.8,0.9,0.5,0.54,1.0,0.9,0.74,0.84,0.69,0.75,0.61
jitterbit.csv,0.42,0.32,0.77,0.17,0.2,0.32,0.09,0.09,0.0,0.62,0.29,0.25,0.35,0.44,0.31,0.36,0.42,0.28
jppf-project.csv,0.92,1.0,0.93,1.0,0.7,0.96,0.91,0.98,0.94,1.0,1.0,0.0,0.81,0.72,0.91,0.68,0.71,1.0
kolmafia.csv,0.67,0.58,0.08,0.37,0.0,0.32,0.13,0.31,0.25,0.12,0.0,0.12,0.31,0.03,0.38,0.43,0.19,0.44
megasquirtavr.csv,0.75,1.0,0.0,1.0,0.7,1.0,0.91,0.76,0.79,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.96,1.0
qedo.csv,0.08,0.05,0.01,0.04,0.0,0.0,0.17,0.0,0.04,0.0,0.0,0.0,0.13,0.05,0.04,0.0,0.06,0.17
stajistics.csv,0.5,0.21,0.63,0.76,0.2,0.47,0.35,0.22,0.45,0.75,0.37,0.88,0.21,0.54,0.58,0.67,0.03,0.56
trackit.csv,0.33,0.53,0.0,0.48,0.2,0.15,0.0,0.07,0.43,0.38,0.6,0.12,0.25,0.36,0.36,0.39,0.41,0.39
wxlua.csv,0.92,1.0,0.81,0.87,1.0,0.17,0.78,0.69,0.56,0.12,1.0,0.5,0.87,0.59,0.71,0.77,0.83,0.67
x4x.csv,0.0,0.63,0.16,0.26,0.9,0.36,0.52,0.71,0.64,0.38,0.54,0.62,0.77,0.79,0.49,0.58,0.75,0.44
xharbour.csv,1.0,0.05,0.75,0.85,1.0,0.87,0.91,0.91,0.93,0.75,1.0,0.88,0.9,0.92,0.89,0.95,0.99,0.89
