,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.6,0.43,0.9,0.77,0.68,0.59,0.69,0.7,0.73,1.0,0.89,0.8,0.73,0.62,0.87,0.62
bullet.csv,0.71,0.63,0.95,0.47,0.91,0.4,0.62,0.68,0.68,1.0,0.93,0.7,0.66,0.92,0.8,0.52
customwars.csv,0.57,0.61,0.88,0.67,0.75,0.56,0.6,0.81,0.3,1.0,0.61,0.86,0.47,0.56,0.75,0.56
dvd-create.csv,0.64,0.69,0.6,1.05,0.26,0.46,0.71,0.78,0.73,0.92,0.93,0.64,0.72,0.84,0.82,0.59
gbif-indexingtoolkit.csv,0.77,0.78,0.82,0.99,0.89,0.88,0.81,0.39,0.91,1.0,0.79,0.72,1.03,0.78,0.9,0.98
go.csv,0.67,0.39,0.62,1.0,0.73,0.68,0.59,0.71,0.76,1.0,0.74,0.66,0.67,0.77,0.41,0.56
growl-for-windows.csv,0.44,1.0,0.78,1.0,1.0,0.99,0.5,0.72,1.0,1.0,0.94,0.73,0.83,0.88,0.35,0.84
gss.csv,0.63,0.48,0.75,0.69,0.49,0.65,0.47,0.73,0.35,1.0,0.9,0.77,0.36,0.71,0.76,0.45
kwave.csv,0.57,1.0,0.45,1.0,1.0,0.67,0.93,0.79,0.84,0.77,0.83,0.85,0.63,0.72,0.88,1.0
libarchive.csv,0.81,0.47,0.72,0.85,0.54,0.69,0.68,0.98,0.55,0.98,0.95,0.96,0.95,0.87,0.74,0.41
linux-ntfs.csv,0.6,0.69,0.83,0.36,0.54,0.55,0.69,0.65,0.83,0.77,0.67,0.86,0.57,0.5,0.94,0.53
lsb.csv,0.52,0.77,0.95,0.33,0.84,0.6,0.53,0.61,0.4,1.0,0.89,0.8,0.91,0.75,0.67,0.55
mpgravity.csv,0.83,0.48,0.82,0.93,0.84,0.83,0.97,0.94,1.0,0.3,1.0,0.89,1.0,0.93,0.95,0.87
qcad2.csv,0.63,0.56,0.77,0.72,0.67,0.61,0.36,0.68,0.27,0.5,0.66,0.72,0.48,0.6,0.61,0.65
qtwin.csv,0.93,1.0,1.0,1.0,1.0,0.97,0.92,0.7,0.09,0.84,0.78,0.73,0.83,0.69,0.95,1.0
xinity.csv,0.93,1.01,0.66,1.13,0.97,0.76,0.85,0.68,1.1,1.0,0.63,0.48,0.79,0.97,0.65,1.02
