,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.17,0.07,0.07,0.01,0.0,0.24,0.38,0.36,0.25,0.03,0.4,0.21,0.35,0.58,0.05,0.59,0.25,0.16,0.1
all-plasm.csv,0.33,0.13,0.11,0.56,0.0,0.05,0.15,0.44,0.3,0.33,0.27,0.14,0.45,0.15,0.55,0.17,0.75,0.15,0.07
awemud.csv,0.57,0.36,0.29,0.77,0.06,0.1,0.31,0.44,0.1,0.89,0.43,0.19,0.27,0.38,0.55,0.52,0.5,0.09,0.03
buddata-ebxml-registry.csv,0.87,1.0,0.86,0.7,1.0,0.95,0.73,0.92,0.75,0.88,0.97,0.74,0.96,0.96,0.95,1.0,0.0,0.72,1.0
bullet.csv,0.43,0.51,0.71,0.02,0.28,0.29,0.27,0.24,0.08,0.65,0.7,0.31,0.54,0.5,0.75,0.07,0.0,0.28,0.62
dvd-create.csv,0.4,0.71,0.45,0.97,0.17,0.29,0.8,0.72,0.54,0.96,0.77,0.68,0.75,0.69,0.55,0.76,0.25,0.49,0.55
gbif-indexingtoolkit.csv,0.67,0.53,0.61,0.98,0.78,0.57,0.6,0.28,0.73,0.85,0.83,0.44,0.38,0.5,0.6,0.38,0.25,0.75,0.28
go.csv,0.73,0.29,0.39,0.74,0.56,0.43,0.51,0.76,0.49,0.61,0.87,0.45,0.83,0.69,0.65,0.83,0.5,0.5,0.83
gss.csv,0.63,0.82,0.55,0.16,0.39,0.76,0.4,0.7,0.43,0.65,1.0,0.61,0.93,0.85,0.2,0.69,0.0,0.38,1.0
jmule.csv,0.7,0.29,0.29,0.8,0.39,0.38,0.65,0.74,1.0,0.43,0.57,0.48,0.6,0.65,0.75,0.97,0.5,0.49,0.14
kwave.csv,0.6,1.0,0.23,1.0,1.0,0.38,0.73,0.74,0.65,0.68,1.0,0.81,0.92,0.85,0.4,0.66,0.75,1.0,0.93
libarchive.csv,0.43,0.6,0.46,0.29,0.78,0.62,0.39,0.86,0.41,0.72,0.87,0.37,0.82,0.96,0.8,0.76,0.25,0.25,0.66
linux-ntfs.csv,0.4,0.49,0.73,0.14,0.28,0.48,0.3,0.42,0.08,0.6,0.87,0.54,0.44,0.77,0.75,0.45,0.25,0.31,0.66
lsb.csv,0.43,0.71,0.71,0.07,0.83,0.52,0.45,0.38,0.34,0.56,0.97,0.14,0.48,0.73,0.85,0.59,0.0,0.44,0.62
mp-rechnungs-und-kundenverwaltung.csv,0.17,0.02,0.29,0.01,0.0,0.43,0.26,0.46,0.22,0.0,0.7,0.21,0.39,0.69,0.1,0.34,0.0,0.03,0.62
qcad2.csv,0.3,0.18,0.12,0.78,0.0,0.24,0.31,0.58,0.28,0.25,0.77,0.24,0.68,0.73,0.7,0.66,0.75,0.41,0.79
qtwin.csv,0.07,0.0,0.02,0.0,0.0,0.14,0.03,0.44,0.09,0.0,0.13,0.1,0.18,0.27,0.05,0.21,0.25,0.0,0.03
stemkit.csv,0.27,0.44,0.23,0.23,0.22,0.19,0.06,0.18,0.16,0.28,0.83,0.19,0.16,0.31,0.2,0.31,0.5,0.19,0.0
xinity.csv,0.63,0.98,0.25,1.0,0.89,0.57,0.65,0.36,0.73,0.47,0.47,0.95,0.8,0.46,0.95,0.69,0.5,0.94,0.45
