,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,99.0,579.0,94.5,97.5,279.0,188.0,96.5,980.5,278.5,98.5,601.0,98.5,98.5
aubit4gl.csv,145.0,1023.0,84.5,148.0,89.5,457.5,96.5,2244.0,190.0,94.5,70.5,197.5,2.5
bionote.csv,99.0,181.0,97.5,97.5,364.0,151.0,96.5,84.5,247.5,95.5,190.0,197.5,92.5
liferea.csv,99.0,377.0,94.5,97.5,564.5,190.5,97.5,273.5,172.0,98.5,240.5,441.5,98.5
opensim4opencog.csv,99.0,181.0,97.5,97.5,355.0,188.0,95.5,176.0,228.5,98.5,291.0,98.5,98.5
pclasses.csv,99.0,186.0,241.5,97.5,170.0,261.0,66.5,1678.5,65.0,98.5,454.0,98.5,98.5
plearn.csv,99.0,281.5,97.5,97.5,280.0,166.0,66.5,294.0,382.0,98.5,402.0,98.5,98.5
psrchive.csv,99.0,87.5,97.5,97.5,330.0,571.0,96.5,2442.5,234.5,95.5,583.5,197.5,79.5
re2c.csv,470.5,298.0,97.5,97.5,370.0,182.0,96.5,980.5,47.5,98.5,1043.0,494.0,98.5
rebecca-aiml.csv,99.0,174.5,97.5,97.5,467.5,376.0,196.5,1681.5,144.0,98.5,1181.0,183.5,98.5
thrust.csv,433.5,25.0,88.5,94.5,430.5,514.0,177.0,1968.5,181.0,94.5,286.5,197.5,98.5
tzod.csv,99.0,358.5,185.5,97.5,362.0,181.0,97.5,817.5,182.0,95.5,32.5,80.5,94.5
yaprm.csv,99.0,589.5,97.5,248.5,372.0,187.5,97.5,84.5,357.5,98.5,746.5,260.0,80.5
