,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.43,0.18,0.17,0.29,0.16,0.29,0.43,0.09,0.5,0.48,0.04,0.4,0.68
aubit4gl.csv,0.33,0.17,0.22,0.5,0.21,0.11,0.67,0.05,0.33,0.46,0.29,0.37,1.0
bionote.csv,0.46,0.31,0.11,0.5,0.26,0.5,0.53,0.19,0.29,0.53,0.4,0.19,0.23
liferea.csv,0.34,0.25,0.04,0.52,0.22,0.42,0.53,0.23,0.12,0.56,0.2,0.32,0.24
opensim4opencog.csv,0.47,0.22,0.06,0.53,0.26,0.47,0.54,0.24,0.22,0.57,0.23,0.53,0.46
pclasses.csv,0.42,0.45,0.0,0.44,0.5,0.2,0.67,0.16,0.0,0.33,0.0,0.26,0.58
plearn.csv,0.43,0.21,0.12,0.53,0.23,0.4,0.33,0.15,0.23,0.49,0.0,0.24,0.27
psrchive.csv,0.4,0.19,0.4,0.53,0.41,0.24,0.58,0.12,0.33,0.52,0.18,0.41,1.0
re2c.csv,0.38,0.18,0.86,0.34,0.17,0.25,0.59,0.09,1.0,0.52,0.06,0.39,0.67
rebecca-aiml.csv,0.34,0.0,0.17,0.44,0.18,0.25,0.59,0.13,0.6,0.55,0.16,0.7,0.56
thrust.csv,0.2,0.0,0.1,0.6,0.07,0.0,0.64,0.1,0.56,0.41,0.09,0.17,0.6
tzod.csv,0.47,0.21,0.0,0.57,0.21,0.38,0.68,0.09,0.4,0.54,0.0,0.34,0.27
yaprm.csv,0.38,0.18,0.07,0.65,0.24,0.4,0.56,0.22,0.17,0.67,0.21,0.38,0.04
