,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.92,0.86,0.76,0.82,1.0,0.94,0.74,0.92,1.0,0.88,0.87,0.35,0.86
bacula.csv,0.64,0.62,0.7,0.62,0.77,0.52,0.78,0.5,0.61,0.56,0.66,0.95,0.54
elmo.csv,0.59,0.74,0.33,0.71,0.55,0.38,0.66,0.81,0.72,0.7,0.53,0.76,0.69
jajuk.csv,0.6,0.87,0.7,0.63,0.27,0.53,0.62,0.65,0.63,0.49,0.45,0.74,0.54
ktc.csv,0.29,0.64,0.71,0.43,0.39,0.49,0.55,0.7,0.6,0.42,0.55,0.83,0.46
neoengine.csv,0.55,0.57,0.99,0.43,0.43,0.39,0.91,0.51,1.0,0.65,0.49,0.98,0.72
omseek.csv,0.85,0.78,1.0,0.89,0.72,0.96,0.85,1.0,0.7,0.83,0.89,1.0,0.53
pcgen.csv,0.77,0.93,0.73,0.85,0.51,0.99,0.89,0.67,1.0,0.87,0.35,0.98,0.8
rosegarden.csv,0.45,0.54,0.73,0.92,0.53,0.55,0.74,0.74,0.59,0.37,0.7,0.75,0.7
selenium.csv,0.43,0.43,0.82,0.49,0.39,0.48,0.5,0.68,0.59,0.49,0.58,0.71,0.52
vapor.csv,1.0,0.87,0.9,0.41,0.85,1.0,0.52,0.82,0.56,1.0,1.0,1.0,0.69
zorannt.csv,0.67,0.74,0.61,0.9,0.55,0.39,0.65,0.64,0.93,0.76,0.47,0.82,0.63
zscreen.csv,0.53,0.78,0.81,0.54,0.76,0.6,0.62,0.47,0.52,0.62,0.67,0.98,0.58
