,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.56,0.71,0.82,0.68,0.53,0.63,0.4,0.64,0.52,0.99,0.49,0.77,0.45,0.46,0.58,0.83,0.8,0.88
fbmanager.csv,0.55,0.6,0.48,0.43,0.53,0.62,0.43,0.44,0.47,0.59,0.47,0.74,0.44,0.34,0.47,0.54,0.67,0.8
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.75,0.0
fityk.csv,0.57,0.43,0.4,0.39,0.55,0.57,0.41,0.47,0.58,0.99,0.57,0.62,0.43,0.46,0.48,0.54,0.67,0.5
fleet-simulator.csv,0.45,0.29,0.45,0.33,0.4,0.42,0.3,0.42,0.32,0.4,0.37,0.43,0.36,0.32,0.37,0.3,0.39,0.57
google-caja.csv,0.41,0.35,0.39,0.34,0.48,0.44,0.38,0.4,0.33,0.44,0.35,0.48,0.33,0.33,0.4,0.3,0.49,0.54
hibernate.csv,0.85,0.48,0.83,0.46,0.51,0.94,0.64,0.59,0.58,0.68,0.67,0.74,0.85,0.77,0.59,0.92,0.73,0.67
itext.csv,0.53,0.4,0.53,0.37,0.56,0.57,0.45,0.43,0.54,0.5,0.73,0.47,0.56,0.4,0.58,0.4,0.56,0.58
k3b.csv,0.45,0.39,0.43,0.5,0.53,0.44,0.33,0.36,0.52,0.38,0.61,0.48,0.47,0.5,0.45,0.52,0.5,0.82
megameknet.csv,0.6,0.4,0.89,0.59,0.62,0.6,0.54,0.47,0.53,0.78,0.61,0.73,0.92,0.44,0.73,0.5,0.84,0.92
myfaces.csv,0.45,0.42,0.43,0.45,0.96,0.45,0.36,0.47,0.37,0.98,0.35,0.54,0.36,0.41,0.71,0.36,0.48,0.41
ninject.csv,0.95,0.56,0.8,0.58,0.66,0.72,0.56,0.5,0.49,0.51,0.58,0.68,0.87,0.95,0.92,0.42,0.58,0.8
ondex.csv,0.96,0.58,0.76,0.64,0.98,0.88,0.86,0.7,0.84,0.97,0.54,0.96,0.67,0.97,0.96,0.35,0.68,0.9
paintown.csv,0.5,0.5,0.45,0.42,0.49,0.44,0.38,0.6,0.42,0.45,0.46,0.56,0.41,0.36,0.48,0.41,0.46,0.56
poormans.csv,0.65,0.43,0.85,0.61,0.62,0.66,0.86,0.44,0.78,0.77,0.84,0.54,0.82,0.61,0.72,0.38,0.61,0.8
powerfolder.csv,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.8,0.93,0.0,0.86,0.0,0.8,0.83,0.0,0.75,0.0
smartgwt.csv,0.68,0.4,0.64,0.5,0.6,0.62,0.42,0.47,0.62,0.55,0.45,0.6,0.57,0.68,0.7,0.53,0.53,0.49
triplea.csv,0.48,0.39,0.47,0.37,0.5,0.42,0.52,0.41,0.53,0.58,0.39,0.46,0.53,0.45,0.46,0.29,0.49,0.7
