,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.48,0.35,0.28,0.42,0.45,0.5,0.98,0.37,0.23,0.28,0.48,0.43,0.59,0.51,0.57,0.26,0.26,0.0
fbmanager.csv,0.56,0.38,0.98,0.61,0.63,0.42,0.53,0.62,0.71,0.57,0.5,0.47,0.48,0.55,0.68,0.39,0.54,0.63
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fityk.csv,0.53,0.62,0.62,0.64,0.65,0.49,0.67,0.61,0.59,0.18,0.28,0.43,1.0,0.53,0.69,0.5,0.5,0.57
fleet-simulator.csv,0.61,0.61,0.55,0.62,0.76,0.6,0.36,0.43,0.57,0.69,0.4,0.72,0.43,0.5,0.74,1.0,0.61,0.63
google-caja.csv,0.68,0.53,0.67,0.99,0.49,0.58,0.52,0.72,0.57,0.72,0.67,0.62,0.6,0.49,0.74,0.84,0.58,0.43
hibernate.csv,0.28,0.5,0.11,0.42,0.45,0.25,0.25,0.55,0.58,0.59,0.53,0.46,0.24,0.31,0.72,0.26,0.95,0.74
itext.csv,0.46,0.64,0.58,0.69,0.58,0.51,0.47,0.99,0.78,0.78,0.54,0.66,0.49,0.52,0.57,0.61,0.41,0.62
k3b.csv,0.64,0.59,0.68,0.49,0.62,0.99,0.57,0.68,0.78,0.68,0.54,0.64,0.61,0.56,0.73,0.47,0.44,0.45
megameknet.csv,0.51,0.55,0.11,0.46,0.62,0.59,0.46,0.52,0.55,0.58,0.28,0.92,0.21,0.58,0.54,0.0,0.39,0.44
myfaces.csv,0.21,0.69,0.0,0.33,0.92,0.47,0.58,0.13,0.19,0.25,0.38,0.36,0.58,0.59,0.43,0.0,0.29,0.16
ninject.csv,0.25,0.52,0.11,0.39,0.56,0.28,0.25,0.48,0.51,0.63,0.49,0.5,0.27,0.18,0.3,0.0,0.5,1.0
ondex.csv,0.28,0.48,0.3,0.4,0.25,0.11,0.2,0.35,0.0,0.23,0.0,0.17,0.06,0.93,0.28,0.84,0.48,0.24
paintown.csv,0.99,0.53,0.65,0.61,0.7,0.58,0.48,0.33,0.79,0.64,0.5,0.69,0.52,0.61,0.64,0.56,0.57,0.59
poormans.csv,0.42,0.49,0.28,0.36,0.62,0.48,0.13,0.68,0.44,0.49,0.29,0.57,0.29,0.34,0.95,0.66,0.38,0.44
powerfolder.csv,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.0,0.18,0.0,0.04,0.0,0.0,0.07,0.0,0.02,0.24
smartgwt.csv,0.48,0.53,0.41,0.5,0.54,0.43,0.44,0.59,0.93,0.93,0.51,0.52,0.43,0.4,0.45,0.33,0.58,0.52
triplea.csv,0.68,0.99,0.59,0.58,0.72,0.62,0.59,0.75,0.72,0.62,0.4,0.61,0.57,0.67,0.68,0.91,0.55,0.62
