,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,fityk.csv,ondex.csv,poormans.csv,fleet-simulator.csv,hibernate.csv,ninject.csv
dspace-gsoc.csv,0.3,0.33,0.1,0.3,0.68,0.33,0.0,0.1,0.49,0.15,0.57,0.19,0.55,0.54,0.38,0.0,0.26,0.15
fbmanager.csv,0.3,0.19,0.0,0.33,0.61,0.29,0.47,0.37,0.5,0.12,0.51,0.16,0.5,0.7,0.43,0.5,0.36,0.22
fido.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0
fityk.csv,0.26,0.19,0.58,0.56,0.33,0.42,0.53,0.43,0.45,0.19,0.45,0.16,0.0,0.45,0.29,0.0,0.47,0.73
fleet-simulator.csv,0.71,0.71,0.77,0.7,0.5,0.71,0.89,0.87,0.74,0.2,0.77,0.26,0.86,0.8,0.55,0.0,0.58,0.2
google-caja.csv,0.36,0.67,0.45,0.04,0.68,0.29,0.53,0.33,0.79,0.57,0.71,0.34,0.73,0.82,0.46,0.0,0.5,0.4
hibernate.csv,0.23,0.52,0.1,0.81,0.81,0.21,0.32,0.37,0.5,0.67,0.33,0.12,0.18,0.24,0.25,0.0,0.0,0.42
itext.csv,0.11,0.24,0.35,0.19,0.17,0.29,0.32,0.03,0.27,0.27,0.23,0.26,0.23,0.49,0.14,0.0,0.21,0.29
k3b.csv,0.49,0.43,0.42,0.26,0.27,0.04,0.47,0.33,0.31,0.24,0.25,0.21,0.41,0.42,0.31,0.38,0.29,0.16
megameknet.csv,0.68,0.67,0.19,0.22,0.29,0.54,0.58,0.8,0.6,0.53,0.39,0.0,0.18,0.53,0.22,1.0,0.21,0.2
myfaces.csv,0.95,0.52,1.0,0.89,0.01,0.83,0.74,0.97,0.95,0.12,0.89,0.88,0.77,0.73,0.62,1.0,0.92,0.96
ninject.csv,0.08,0.05,0.06,0.7,0.15,0.17,0.42,0.23,0.69,0.11,0.53,0.07,0.23,0.09,0.03,1.0,0.75,0.0
ondex.csv,0.14,0.24,0.26,0.3,0.11,0.12,0.05,0.4,0.37,0.06,0.59,0.06,0.05,0.0,0.12,0.12,0.62,0.16
paintown.csv,0.01,0.29,0.35,0.26,0.54,0.29,0.47,0.33,0.57,0.29,0.49,0.42,0.27,0.63,0.27,0.0,0.42,0.44
poormans.csv,0.34,0.62,0.16,0.22,0.14,0.38,0.16,0.4,0.21,0.03,0.17,0.26,0.27,0.32,0.0,0.62,0.21,0.24
powerfolder.csv,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.03,0.0,0.0,0.0
smartgwt.csv,0.12,0.57,0.39,0.44,0.47,0.58,0.47,0.4,0.28,0.0,0.44,0.31,0.45,0.34,0.3,0.88,0.35,0.78
triplea.csv,0.45,0.05,0.39,0.67,0.59,0.58,0.47,0.5,0.48,0.07,0.78,0.24,0.41,0.55,0.53,0.0,0.42,0.31
