,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.22,0.69,0.16,0.04,0.2,0.18,0.0,0.34,0.01,0.06
bibedt.csv,0.23,0.48,0.15,0.35,0.2,0.66,0.64,0.73,0.36,0.67
cascading.csv,0.68,0.65,0.52,0.42,0.0,0.6,0.62,0.38,0.66,0.55
firebreath.csv,0.66,0.53,0.67,0.42,0.0,0.7,0.47,0.38,0.65,0.58
fritzing.csv,0.71,0.66,0.47,0.61,0.29,0.65,0.24,0.66,0.36,0.49
httpcontentparser.csv,0.21,0.0,0.37,0.2,0.1,0.78,0.66,0.52,0.49,0.3
mpgravity.csv,0.17,0.32,0.59,0.56,0.81,0.54,0.09,0.61,0.58,0.62
patterntesting.csv,0.58,0.55,0.39,0.69,0.38,0.09,0.5,0.09,0.24,0.59
roller.csv,0.66,0.43,0.66,0.55,0.45,0.27,0.48,0.74,0.45,0.0
xfce.csv,0.21,0.53,0.47,0.59,0.0,0.48,0.57,0.62,0.6,0.67
