,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,0.49,0.58,0.35,0.42,0.46,0.53,0.26,0.32,0.0,0.64,0.57,0.74,0.06,0.38,0.14,0.5,0.44,0.38,0.48
beast-mcmc.csv,0.0,0.32,0.63,0.13,0.4,0.27,0.46,0.12,0.97,0.14,0.19,0.51,0.06,0.26,0.27,0.16,0.06,0.38,0.18
bigdata.csv,0.23,0.29,0.33,0.92,0.89,0.53,0.4,0.95,0.0,0.57,0.11,0.74,0.94,0.84,0.81,0.12,0.91,0.62,0.52
codesmith.csv,0.54,0.71,0.49,0.68,0.31,0.58,0.66,0.7,0.47,0.64,0.76,0.59,0.55,0.35,0.7,0.56,0.0,0.62,0.19
coot.csv,0.35,0.61,0.31,0.08,0.23,0.33,0.4,0.74,0.28,0.5,0.32,0.26,0.08,0.44,0.0,0.22,0.56,0.31,0.13
cuberok.csv,0.56,0.68,0.34,0.37,0.69,0.58,0.0,0.39,0.19,0.57,0.78,0.79,0.25,0.44,0.24,0.5,0.56,0.12,0.52
icescrum.csv,0.18,0.39,0.13,0.11,0.11,0.29,0.26,0.36,0.16,0.43,0.35,0.28,0.17,0.23,0.22,0.0,0.06,0.25,0.18
jbasic.csv,0.19,0.37,0.3,0.18,0.31,0.35,0.34,0.02,0.34,0.29,0.51,0.33,0.3,0.43,0.16,0.34,0.38,0.12,0.5
jrefactory.csv,0.55,0.0,0.6,0.39,0.54,0.5,0.89,0.35,0.74,0.29,0.43,0.41,0.83,0.57,0.59,0.59,0.68,0.69,0.89
jsecurity.csv,0.14,0.32,0.01,0.21,0.2,0.35,0.23,0.11,0.21,0.0,0.27,0.38,0.13,0.12,0.16,0.16,0.12,0.12,0.26
kolmafia.csv,0.45,0.45,0.24,0.24,0.4,0.38,0.49,0.24,0.28,0.43,0.19,0.0,0.28,0.27,0.38,0.66,0.35,0.12,0.79
libopenmetaverse.csv,0.9,0.79,0.85,0.76,0.0,0.9,0.66,0.97,0.69,0.43,0.81,0.41,0.47,0.91,0.81,0.69,0.62,0.81,0.35
mevenide.csv,0.14,0.29,0.09,0.11,0.23,0.2,0.2,0.11,0.22,0.14,0.14,0.23,0.11,0.0,0.46,0.62,0.15,0.38,0.68
mobicents.csv,0.29,0.42,0.27,0.34,0.37,0.0,0.2,0.18,0.17,0.36,0.38,0.49,0.28,0.25,0.16,0.34,0.44,0.31,0.24
opendvr.csv,0.72,0.39,0.43,0.53,0.6,0.65,0.37,0.55,0.41,0.21,0.59,0.51,0.0,0.41,0.57,0.75,0.82,0.31,0.55
power-architect.csv,0.3,0.34,0.88,0.58,0.86,0.29,0.86,0.17,0.52,0.0,0.24,0.44,0.75,0.33,0.43,0.56,0.88,0.69,1.0
sidekar.csv,0.56,0.47,0.36,0.0,0.49,0.6,0.4,0.71,0.38,0.64,0.59,0.51,0.23,0.53,0.65,0.31,0.38,0.25,0.19
ta3d.csv,0.93,0.84,0.78,0.95,0.8,0.9,0.8,0.67,0.79,0.71,0.89,0.62,0.66,0.91,0.68,0.72,0.68,0.0,0.73
thedata.csv,0.36,0.24,0.13,0.24,0.23,0.25,0.11,0.74,0.38,0.86,0.35,0.67,0.38,0.16,0.57,0.06,0.15,0.31,0.0
