,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,0.43,0.4,0.51,0.43,0.39,0.44,0.56,0.47,0.72,0.35,0.37,0.34,0.86,0.51,0.92,0.33,0.45,0.36,0.39
beast-mcmc.csv,0.69,0.56,0.68,0.74,0.66,0.54,0.45,0.62,0.42,0.7,0.58,0.47,0.88,0.65,0.52,0.57,0.91,0.39,0.82
bigdata.csv,0.62,0.59,0.47,0.46,0.38,0.44,0.73,0.44,0.0,0.38,0.42,0.36,0.46,0.46,0.54,0.7,0.4,0.68,0.47
codesmith.csv,0.43,0.4,0.5,0.44,0.57,0.44,0.46,0.46,0.52,0.42,0.44,0.43,0.45,0.57,0.42,0.5,0.44,0.39,0.92
coot.csv,0.59,0.57,0.81,0.71,0.76,0.7,0.54,0.55,0.76,0.54,0.72,0.64,0.88,0.71,0.49,0.64,0.68,0.75,0.9
cuberok.csv,0.49,0.46,0.56,0.54,0.48,0.59,0.57,0.74,0.87,0.49,0.54,0.46,0.89,0.56,0.94,0.42,0.48,0.83,0.5
icescrum.csv,0.6,0.46,0.82,0.5,0.9,0.46,0.47,0.45,0.69,0.41,0.44,0.53,0.69,0.56,0.45,0.56,0.9,0.54,0.75
jbasic.csv,0.72,0.43,0.69,0.63,0.7,0.58,0.54,0.57,0.66,0.54,0.52,0.49,0.71,0.53,0.92,0.5,0.7,0.69,0.47
jrefactory.csv,0.5,0.55,0.53,0.5,0.46,0.59,0.38,0.74,0.52,0.42,0.58,0.41,0.48,0.59,0.51,0.44,0.5,0.43,0.37
jsecurity.csv,0.97,0.68,0.84,0.95,0.76,0.81,0.85,0.68,0.7,0.8,0.89,0.77,0.83,0.94,0.91,0.9,0.93,0.6,0.59
kolmafia.csv,0.45,0.42,0.52,0.42,0.5,0.43,0.41,0.46,0.52,0.37,0.46,0.43,0.7,0.46,0.43,0.37,0.58,0.47,0.36
libopenmetaverse.csv,0.36,0.42,0.52,0.49,0.56,0.39,0.42,0.43,0.43,0.42,0.45,0.43,0.47,0.47,0.45,0.41,0.44,0.46,0.57
mevenide.csv,0.9,0.68,0.95,0.88,0.67,0.72,0.85,0.68,0.68,0.86,0.83,0.68,0.92,0.85,0.64,0.34,0.92,0.5,0.47
mobicents.csv,0.58,0.5,0.63,0.59,0.55,0.52,0.57,0.5,0.71,0.48,0.53,0.53,0.75,0.66,0.75,0.62,0.57,0.45,0.78
opendvr.csv,0.44,0.54,0.86,0.73,0.49,0.5,0.71,0.74,0.71,0.6,0.56,0.46,0.88,0.78,0.49,0.38,0.41,0.67,0.49
power-architect.csv,0.52,0.46,0.5,0.47,0.38,0.55,0.46,0.58,0.65,0.41,0.56,0.34,0.55,0.53,0.87,0.39,0.38,0.49,0.37
sidekar.csv,0.4,0.55,0.43,0.5,0.49,0.43,0.46,0.5,0.49,0.4,0.42,0.41,0.58,0.45,0.44,0.41,0.74,0.5,0.69
ta3d.csv,0.35,0.41,0.46,0.48,0.37,0.36,0.42,0.43,0.42,0.37,0.42,0.36,0.49,0.47,0.43,0.33,0.34,0.44,0.39
thedata.csv,0.69,0.94,0.96,0.95,0.93,0.85,0.75,0.57,0.61,0.53,0.75,0.52,0.48,0.94,0.44,0.67,0.94,0.57,0.75
