,gtad.csv,kaffeine.csv,taokgame.csv,htmlunit.csv,jsr308-langtools.csv,continuum-ide.csv,anaxagora.csv,stemkit.csv,buddata-ebxml-registry.csv
anaxagora.csv,0.42,0.43,0.47,0.44,0.55,0.29,0.57,0.4,0.42
buddata-ebxml-registry.csv,0.34,0.41,0.38,0.35,0.43,0.31,0.37,0.37,0.34
continuum-ide.csv,0.67,0.9,0.93,0.45,0.85,0.42,0.9,0.93,0.71
gtad.csv,0.67,0.86,0.6,0.69,0.55,0.47,0.83,0.67,0.83
htmlunit.csv,0.32,0.43,0.58,0.51,0.37,0.32,0.49,0.45,0.34
jsr308-langtools.csv,0.35,0.36,0.4,0.0,0.37,0.29,0.35,0.36,0.33
kaffeine.csv,0.34,0.37,0.45,0.37,0.42,0.27,0.52,0.34,0.44
stemkit.csv,0.89,0.63,0.72,0.71,0.56,0.8,0.95,0.68,0.79
taokgame.csv,0.76,0.8,0.94,0.96,0.86,0.83,0.64,0.79,0.71
