,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv
bochs.csv,0.85,0.63,0.5,0.35,0.35,0.42,0.68,0.83,0.92
bzbyte.csv,0.0,0.0,0.58,0.0,0.0,0.98,0.26,0.28,0.0
encog-java.csv,0.24,0.05,0.02,0.05,0.17,0.44,0.03,0.06,0.0
galaxium.csv,0.54,0.45,0.35,0.51,0.15,0.65,0.16,0.39,0.23
h2database.csv,0.3,0.24,0.1,0.3,0.03,0.35,0.02,0.28,0.08
haphazard.csv,0.14,0.16,0.31,0.18,0.22,0.29,0.49,0.56,0.15
jaql.csv,0.71,0.32,0.23,0.24,0.22,0.48,0.2,0.33,0.0
raven-monitoring.csv,0.62,0.57,0.29,0.33,0.36,0.4,0.8,0.5,0.62
v8.csv,0.25,0.35,0.79,0.76,0.94,0.6,0.64,0.22,0.08
