,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.25,0.46,0.46,0.68,0.75,1.0,0.55,0.55,0.71,0.24,0.4
gabel.csv,0.15,0.35,0.51,0.45,0.88,0.2,0.61,0.19,0.12,0.31,0.21
javaprofiler.csv,0.85,0.61,0.95,0.82,1.0,1.0,0.66,0.75,0.65,0.69,0.59
jmoney.csv,0.9,0.72,0.46,0.5,0.38,0.4,0.36,0.42,0.18,0.62,0.21
mycila.csv,0.9,0.83,0.35,1.0,1.0,0.8,0.69,0.87,0.29,0.9,0.41
neodatis-odb.csv,0.85,0.33,0.68,0.77,0.38,0.4,0.31,0.77,0.41,0.9,0.69
servicestack.csv,0.0,0.22,0.11,0.0,0.0,0.1,0.01,0.02,0.65,0.0,0.01
sqlpower-library.csv,0.85,0.63,0.62,0.73,0.88,0.6,0.83,0.61,0.88,0.72,0.72
synecdoche.csv,0.65,0.78,0.46,1.0,0.62,0.2,0.48,0.59,0.41,0.66,0.27
tmva.csv,0.85,0.98,0.65,0.91,0.88,0.9,0.76,0.96,0.94,0.59,0.52
unicase.csv,1.0,0.93,0.78,0.64,0.88,0.8,0.9,0.75,0.53,0.76,0.83
