,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.69,0.95,0.73,0.64,0.6,0.53,0.68,0.63,0.56,0.92,0.63,0.75,0.51,0.6,0.88,0.57,0.62,0.67
bscwweasel.csv,0.57,0.98,0.53,0.7,0.41,0.6,0.63,0.62,0.76,0.87,0.71,0.12,0.75,0.89,0.9,0.57,0.74,0.6
capcode.csv,0.86,0.97,0.91,0.79,0.77,0.57,0.37,0.65,0.75,0.83,0.82,0.88,0.56,0.86,0.79,0.65,0.76,0.55
dspace-gsoc.csv,0.56,0.96,0.88,0.59,0.8,0.98,0.93,0.9,0.83,0.88,0.42,1.12,0.8,0.75,0.95,0.78,0.73,0.95
emite.csv,0.58,0.73,0.97,0.7,0.82,0.73,0.95,0.73,0.75,0.85,0.75,1.0,0.93,0.62,0.52,0.82,0.7,0.73
fbmanager.csv,0.46,0.89,0.62,0.35,0.46,0.52,0.66,0.65,0.78,0.86,0.75,0.46,0.43,0.87,1.0,0.95,0.65,0.48
freenet.csv,0.83,0.98,1.01,0.88,0.98,0.72,0.9,0.51,0.84,0.77,0.97,0.97,0.69,0.98,0.86,0.78,0.81,0.89
geogebra.csv,0.61,0.97,0.68,0.52,0.59,0.65,0.55,0.65,0.78,0.75,0.67,0.44,0.45,0.61,0.91,0.36,0.74,0.46
megameknet.csv,0.73,1.0,0.68,0.68,0.48,0.87,0.92,0.65,0.85,0.64,0.82,1.0,0.46,0.79,0.69,0.73,0.68,0.57
ondex.csv,0.64,0.98,0.7,0.83,0.69,0.81,0.87,0.51,0.82,0.72,0.64,0.96,0.67,0.55,0.66,0.59,0.49,0.62
onotoa.csv,0.61,0.96,0.78,0.8,0.95,0.93,0.54,0.66,0.79,0.52,0.79,1.28,0.52,0.97,0.88,0.78,0.68,0.75
paintown.csv,0.34,1.0,0.68,0.69,0.97,0.92,1.0,0.69,0.74,0.86,0.65,0.86,0.96,0.93,0.81,0.93,0.85,0.98
powerfolder.csv,0.58,0.84,0.85,0.57,0.69,0.52,0.94,0.74,0.8,0.66,0.69,0.08,0.74,0.79,0.94,0.68,0.49,0.74
retromenu.csv,0.78,0.88,0.79,0.57,0.71,0.25,0.7,0.65,0.77,0.92,0.97,0.8,0.57,0.62,0.9,0.51,0.63,0.7
smbopensoft.csv,0.93,0.26,0.82,0.76,0.74,0.89,0.85,0.93,0.65,0.79,0.8,0.82,0.69,0.8,0.73,0.76,0.84,0.65
triplea.csv,0.56,0.92,0.39,0.52,0.83,1.0,0.85,0.92,0.6,0.72,0.77,0.87,0.6,0.73,0.8,0.68,0.85,0.87
tweetsharp.csv,0.63,0.93,0.86,0.76,0.73,0.69,0.77,0.82,0.79,0.87,0.74,1.1,0.85,0.77,0.7,0.83,0.37,0.86
xamj.csv,0.65,0.51,0.56,0.69,0.79,0.84,0.91,0.97,0.72,0.83,0.8,0.58,0.95,0.8,0.7,0.52,0.83,0.39
