,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.55,0.88,0.67,0.49,0.52,0.39,0.4,0.41,0.51,0.34,0.4,0.39,0.54,0.45,0.38,0.63,0.38,0.5
bscwweasel.csv,0.49,0.67,0.39,0.85,0.65,0.42,0.59,0.48,0.53,0.62,0.38,0.84,0.95,0.36,0.83,0.78,0.76,0.69
capcode.csv,0.51,0.83,0.32,0.85,0.5,0.52,0.64,0.43,0.74,0.39,0.38,0.36,0.56,0.47,0.62,0.68,0.43,0.59
dspace-gsoc.csv,0.41,0.27,0.35,0.43,0.54,0.37,0.36,0.38,0.36,0.37,0.38,0.36,0.53,0.34,0.37,0.45,0.34,0.49
emite.csv,0.57,0.77,0.67,0.62,0.69,0.83,0.8,0.67,0.87,0.63,0.47,0.67,0.91,0.97,0.55,0.98,0.62,0.77
fbmanager.csv,0.49,0.32,0.53,0.43,0.62,0.48,0.38,0.33,0.52,0.65,0.41,0.44,0.47,0.3,0.5,0.39,0.48,0.46
freenet.csv,0.52,0.41,0.31,0.49,0.45,0.35,0.38,0.44,0.44,0.43,0.32,0.35,0.54,0.32,0.5,0.46,0.46,0.49
geogebra.csv,0.55,0.67,0.6,0.52,0.63,0.41,0.45,0.35,0.44,0.56,0.43,0.46,0.54,0.6,0.83,0.46,0.4,0.45
megameknet.csv,0.46,0.27,0.36,0.48,0.67,0.42,0.39,0.38,0.57,0.58,0.35,0.46,0.53,0.35,0.58,0.46,0.47,0.6
ondex.csv,0.63,0.5,0.77,0.88,0.78,0.76,0.84,0.47,0.79,0.49,0.46,0.4,0.93,0.7,0.59,0.79,0.5,0.55
onotoa.csv,0.53,0.83,0.88,0.78,0.51,0.58,0.61,0.69,0.78,0.45,0.82,0.42,0.7,0.83,0.89,0.98,0.56,0.69
paintown.csv,0.43,0.27,0.47,0.41,0.46,0.37,0.37,0.46,0.46,0.45,0.33,0.38,0.47,0.33,0.53,0.41,0.43,0.47
powerfolder.csv,0.53,0.34,0.86,0.41,0.47,0.38,0.51,0.75,0.65,0.45,0.67,0.93,0.58,0.96,0.8,0.67,0.38,0.93
retromenu.csv,0.78,0.93,0.89,0.42,0.74,0.37,0.44,0.52,0.55,0.86,0.0,0.75,0.74,0.97,0.8,0.54,0.36,0.73
smbopensoft.csv,0.54,0.42,0.32,0.87,0.65,0.43,0.66,0.38,0.55,0.33,0.34,0.39,0.56,0.37,0.4,0.52,0.44,0.51
triplea.csv,0.47,0.28,0.44,0.38,0.46,0.33,0.42,0.35,0.48,0.4,0.38,0.33,0.51,0.33,0.43,0.4,0.42,0.48
tweetsharp.csv,0.63,0.35,0.71,0.88,0.68,0.49,0.93,0.67,0.48,0.42,0.59,0.45,0.7,0.45,0.52,0.67,0.49,0.62
xamj.csv,0.44,0.47,0.41,0.38,0.56,0.36,0.39,0.35,0.42,0.37,0.38,0.4,0.47,0.57,0.52,0.46,0.36,0.48
