,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.32,0.4,0.23,0.19,0.58,0.98,0.0,0.6,0.05,0.52,1.0,0.15,0.82,0.24,0.17,0.08,0.05
codepurge.csv,0.52,0.42,0.44,0.36,0.53,0.65,0.11,0.48,0.25,0.55,0.91,0.11,0.82,1.0,0.15,0.36,0.07
fontforge.csv,0.35,0.26,0.6,0.25,0.51,0.48,0.11,1.0,0.17,0.48,0.93,0.03,0.89,0.14,0.11,0.48,0.16
gmerlin.csv,0.33,0.43,0.89,0.6,0.47,0.42,0.14,0.5,0.12,0.49,0.94,0.26,0.68,0.17,0.11,1.0,0.15
hatari.csv,0.56,0.52,0.97,0.41,0.75,0.57,0.05,0.4,0.16,0.48,0.99,0.1,0.87,0.29,0.1,0.5,0.18
jaolt.csv,0.51,0.33,0.58,0.39,0.73,0.51,0.09,0.45,0.25,0.48,0.94,0.06,0.99,0.24,0.22,0.39,0.28
jcl.csv,0.62,0.8,0.33,0.29,0.6,0.8,0.0,0.0,0.11,0.47,1.0,0.12,0.9,0.07,1.0,0.5,0.27
ltp.csv,0.52,0.26,0.4,0.33,0.99,0.42,0.0,0.38,0.07,0.65,0.9,0.07,0.78,0.19,0.13,0.46,0.22
mia.csv,0.43,0.8,0.32,0.37,0.7,0.38,0.09,0.75,0.12,0.51,0.65,1.0,0.67,0.31,0.13,0.31,0.05
net-snmp.csv,1.0,0.43,0.36,0.41,0.65,0.47,0.03,0.48,0.16,0.43,0.9,0.18,0.82,0.16,0.19,0.36,0.18
opde.csv,0.48,0.32,0.48,0.96,0.7,0.46,0.05,0.48,0.15,0.45,0.83,0.1,0.8,0.18,0.16,0.37,0.13
oppna-program-hsatools.csv,0.5,0.33,0.45,0.35,0.71,0.48,0.02,0.4,0.14,0.48,1.0,0.09,0.73,0.21,0.13,0.3,0.19
powerfolder-.csv,0.5,1.0,0.2,0.5,0.51,0.44,0.5,0.54,0.29,0.6,0.9,0.07,0.82,0.25,0.14,0.29,0.0
qlc.csv,0.0,0.38,0.0,0.22,0.0,0.36,0.25,0.0,1.0,0.5,0.62,0.17,0.9,0.62,0.33,0.0,0.0
quantlib.csv,0.73,0.41,1.0,0.31,0.31,0.38,0.09,0.47,0.19,0.5,0.81,0.2,0.7,0.28,0.12,0.2,1.0
tcl.csv,0.45,0.23,0.45,0.32,0.69,0.38,0.0,0.56,0.1,0.97,0.83,0.04,0.75,0.05,0.18,0.4,0.06
