,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.97,0.0,0.0,0.18
repositorium.csv,0.55,1.0,0.63,0.41
simplewebservices.csv,0.61,0.57,0.42,0.97
xbg.csv,0.1,0.0,1.0,0.2
