,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.0,0.01,0.04,0.06
repositorium.csv,0.41,0.0,0.31,0.86
simplewebservices.csv,0.61,0.33,0.24,0.01
xbg.csv,0.09,0.0,0.0,0.13
