,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,0.04,1.0,1.0,0.85
repositorium.csv,0.62,0.0,0.49,0.88
simplewebservices.csv,0.67,0.56,0.67,0.03
xbg.csv,0.92,1.0,0.0,0.84
