,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,xstore.csv,xreal.csv
agilitybook.csv,0.03,0.72,0.11,1.01,0.76,0.74,0.61,0.66
apolloplayer.csv,0.81,0.04,0.47,0.89,0.6,0.86,0.63,1.01
k3d.csv,0.89,0.92,1.0,1.0,0.94,0.07,0.83,1.0
redshell.csv,0.91,0.65,0.63,1.0,0.0,0.98,0.96,0.6
rtb-team.csv,0.62,0.56,1.02,0.07,0.93,0.7,0.52,0.56
xreal.csv,0.97,0.96,1.0,0.73,0.95,0.87,0.98,0.0
xstore.csv,0.61,0.57,1.09,0.89,0.61,0.73,0.05,0.73
