,agilitybook.csv,apolloplayer.csv,gotjava.csv,rtb-team.csv,redshell.csv,k3d.csv,xstore.csv,xreal.csv
agilitybook.csv,0.97,0.33,1.0,0.0,0.33,0.6,0.46,0.8
apolloplayer.csv,0.53,0.96,1.0,0.13,0.53,0.3,0.41,0.0
k3d.csv,0.11,0.08,0.0,0.0,0.06,0.93,0.17,0.0
redshell.csv,0.97,0.79,1.0,0.93,1.0,1.0,0.89,0.8
rtb-team.csv,0.42,0.54,0.0,0.93,0.32,0.37,0.54,0.6
xreal.csv,0.03,0.04,0.0,0.27,0.05,0.13,0.02,1.0
xstore.csv,0.58,0.58,0.0,0.13,0.44,0.5,0.98,0.4
