,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,tcl.csv,decidr.csv,glas.csv
chipster.csv,0.61,0.52,0.72,0.24,0.51,0.98,0.54,0.23,0.03
decidr.csv,0.49,0.65,0.48,0.6,0.16,0.58,0.15,0.99,0.43
glas.csv,0.44,0.29,0.28,0.32,0.69,0.55,0.59,0.66,1.0
hatari.csv,0.76,0.52,0.97,0.44,0.77,0.56,0.9,0.46,0.3
ltp.csv,0.17,0.35,0.17,0.16,0.99,0.06,0.0,0.09,0.05
net-snmp.csv,0.93,0.42,0.14,0.32,0.47,0.39,0.46,0.37,0.08
opde.csv,0.12,0.45,0.17,1.0,0.5,0.29,0.0,0.26,0.11
powerfolder-.csv,0.05,0.97,0.0,0.16,0.05,0.21,0.26,0.17,0.0
tcl.csv,0.46,0.35,0.17,0.28,0.15,0.24,0.9,0.27,0.24
