,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,2.0,0.0,3.0,1.0,0.0,52.0,3.0,12.0,78.0,0.0,2.0,0.0,19.0,6.0,11.0,118.0
codepurge.csv,1.0,5.0,2.0,2.0,3.0,0.0,5.0,4.0,1.0,3.0,0.0,16.0,0.0,0.0,2.0,1.0,7.0
fontforge.csv,0.0,0.0,0.0,1.0,0.0,5.0,52.0,0.0,3.0,0.0,2.0,75.0,2.0,24.0,5.0,1.0,6.0
glas.csv,3.0,10.0,1.0,3.0,1.0,5.0,15.0,0.0,11.0,0.0,1.0,13.0,0.0,5.0,7.0,8.0,5.0
gmerlin.csv,0.0,1.0,0.0,2.0,1.0,8.0,6.0,0.0,10.0,3.0,0.0,7.0,1.0,5.0,4.0,0.0,5.0
hatari.csv,1.0,4.0,0.0,0.0,0.0,7.0,25.0,12.0,4.0,0.0,3.0,8.0,3.0,21.0,15.0,4.0,7.0
jcl.csv,0.0,0.0,1.0,0.0,471.0,161.0,52.0,0.0,132.0,0.0,0.0,3.0,91.0,168.0,0.0,0.0,2.0
ltp.csv,0.0,0.0,0.0,0.0,0.0,6.0,19.0,6.0,1.0,0.0,1.0,14.0,7.0,17.0,17.0,1.0,6.0
mia.csv,1.0,2.0,1.0,0.0,2.0,14.0,11.0,2.0,15.0,0.0,2.0,0.0,91.0,3.0,7.0,8.0,17.0
net-snmp.csv,0.0,2.0,0.0,2.0,0.0,1.0,52.0,1.0,5.0,0.0,0.0,10.0,1.0,13.0,9.0,1.0,15.0
opde.csv,1.0,1.0,1.0,0.0,2.0,6.0,42.0,0.0,2.0,0.0,2.0,7.0,5.0,14.0,4.0,9.0,22.0
oppna-program-hsatools.csv,0.0,0.0,2.0,0.0,0.0,1.0,50.0,12.0,24.0,0.0,0.0,8.0,5.0,15.0,3.0,5.0,10.0
powerfolder-.csv,1.0,0.0,0.0,1.0,0.0,7.0,2.0,3.0,3.0,4.0,1.0,7.0,6.0,1.0,4.0,0.0,2.0
qlc.csv,0.0,1.0,0.0,0.0,471.0,12.0,5.0,3.0,0.0,0.0,1.0,3.0,7.0,12.0,4.0,3.0,11.0
quantlib.csv,0.0,6.0,0.0,1.0,0.0,2.0,13.0,4.0,4.0,1.0,1.0,15.0,3.0,7.0,6.0,5.0,0.0
tcl.csv,0.0,1.0,0.0,0.0,2.0,8.0,52.0,1.0,11.0,0.0,1.0,8.0,7.0,8.0,14.0,3.0,4.0
