,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,glas.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.49,0.61,0.32,0.32,0.21,0.98,0.0,0.57,0.43,0.0,0.46,0.63,0.43,0.25,0.49,0.29,0.0
codepurge.csv,0.26,0.62,0.04,0.14,0.19,0.34,0.98,0.66,0.13,0.27,0.25,0.32,0.04,1.0,0.33,0.42,0.1
fontforge.csv,0.47,0.54,0.35,0.46,0.54,0.58,0.0,1.0,0.46,0.51,0.46,0.07,0.39,0.37,0.48,0.35,0.28
glas.csv,0.67,0.42,0.54,0.55,0.53,0.54,0.92,0.58,0.55,0.54,0.53,0.58,0.93,0.37,0.09,0.5,0.68
gmerlin.csv,0.15,0.67,0.25,0.32,0.07,0.53,0.97,0.49,0.2,0.41,0.48,0.38,0.04,0.05,0.55,0.93,0.05
hatari.csv,0.59,0.67,0.92,0.62,0.63,0.63,0.84,0.33,0.58,0.51,0.66,0.4,0.42,0.45,0.54,0.5,0.33
jcl.csv,0.02,0.3,0.04,0.1,0.0,0.0,0.0,0.05,0.0,0.12,0.02,0.07,0.0,0.0,0.88,0.07,0.1
ltp.csv,0.49,0.37,0.47,0.37,0.98,0.52,0.89,0.29,0.31,0.4,0.42,0.32,0.5,0.55,0.46,0.49,0.48
mia.csv,0.0,0.3,0.34,0.32,0.0,0.45,0.95,0.25,0.2,0.0,0.35,1.0,0.0,0.2,0.54,0.0,0.05
net-snmp.csv,0.96,0.55,0.25,0.28,0.49,0.39,0.0,0.63,0.36,0.48,0.51,0.62,0.44,0.37,0.58,0.42,0.53
opde.csv,0.47,0.73,0.44,0.93,0.65,0.58,0.54,0.51,0.59,0.34,0.49,0.65,0.36,0.66,0.35,0.58,0.28
oppna-program-hsatools.csv,0.57,0.61,0.57,0.17,0.38,0.61,0.17,0.23,0.33,0.21,0.99,0.05,0.52,0.6,0.21,0.51,0.46
powerfolder-.csv,0.12,0.95,0.04,0.05,0.25,0.13,0.99,0.33,0.13,0.18,0.25,0.2,0.06,0.1,0.57,0.11,0.05
qlc.csv,0.12,0.45,0.04,0.28,0.0,0.42,0.98,0.56,0.95,0.25,0.2,0.32,0.29,0.29,0.41,0.23,0.1
quantlib.csv,0.24,0.37,0.09,0.19,0.02,0.52,0.94,0.5,0.38,0.12,0.5,0.38,0.17,0.15,0.47,0.26,0.97
tcl.csv,0.2,0.33,0.17,0.19,0.34,0.21,0.0,0.57,0.26,0.92,0.24,0.25,0.28,0.05,0.25,0.04,0.14
