,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.29,0.51,0.36,0.97,0.09,0.12,0.1,0.36,0.09,0.11,0.35,0.16
gamestone.csv,1.0,0.27,0.24,0.3,0.11,0.39,0.31,0.21,0.44,0.37,0.26,0.16
geochat.csv,0.41,0.27,0.72,0.38,0.35,0.47,0.51,0.21,0.23,0.43,0.46,0.94
igarden.csv,0.0,1.0,0.1,0.46,0.19,0.17,0.22,0.44,0.31,0.17,0.49,0.41
ingex.csv,0.14,0.04,0.19,0.16,0.32,0.91,0.14,0.17,0.31,0.4,0.39,0.12
lphant.csv,0.58,0.52,0.61,0.48,0.24,0.61,0.8,0.96,0.67,0.71,0.54,0.43
nabu-library.csv,0.6,0.45,0.43,0.58,0.99,0.3,0.28,0.4,0.67,0.46,0.61,0.41
nebuladevice.csv,0.15,0.07,0.45,0.3,0.16,0.2,0.4,0.21,1.0,0.06,0.52,0.24
owlapi.csv,0.29,0.12,1.0,0.34,0.3,0.25,0.3,0.21,0.16,0.4,0.09,0.16
pi-qmc.csv,0.29,0.3,0.32,0.61,0.31,0.54,0.49,0.6,0.3,0.96,0.48,0.53
trinitycore.csv,0.43,0.46,0.41,0.59,0.3,0.35,0.05,0.22,0.31,0.27,0.96,0.42
twostep.csv,0.67,0.67,0.76,0.59,0.36,0.61,0.93,0.63,0.62,0.77,0.61,0.57
