,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.17,0.29,0.21,0.0,0.01,0.22,0.04,0.36,0.18,0.0,0.22,0.05
gamestone.csv,0.0,0.18,0.14,0.09,0.11,0.12,0.31,0.09,0.25,0.0,0.14,0.13
geochat.csv,0.87,0.93,0.58,0.64,0.88,0.84,0.58,0.27,0.35,0.62,0.43,0.0
igarden.csv,0.08,0.0,0.08,0.38,0.54,0.08,0.18,0.36,0.14,0.04,0.18,0.34
ingex.csv,0.15,0.11,0.31,0.24,0.09,0.04,0.24,0.24,0.17,0.21,0.21,0.3
lphant.csv,0.69,0.49,0.35,0.51,0.91,0.62,0.42,0.0,0.49,0.34,0.53,0.39
nabu-library.csv,0.48,0.85,0.4,0.69,0.0,0.92,0.91,0.85,0.59,0.84,0.71,0.82
nebuladevice.csv,0.08,0.04,0.11,0.22,0.12,0.08,0.11,0.24,0.0,0.02,0.41,0.11
owlapi.csv,0.31,0.17,0.01,0.2,0.22,0.1,0.51,0.24,0.18,0.2,0.14,0.13
pi-qmc.csv,0.17,0.22,0.18,0.38,0.1,0.34,0.36,0.52,0.38,0.0,0.32,0.32
trinitycore.csv,0.17,0.29,0.15,0.56,0.06,0.16,0.29,0.03,0.25,0.02,0.0,0.5
twostep.csv,0.52,0.61,0.56,0.73,0.87,0.7,0.0,0.39,0.61,0.25,0.56,0.58
