,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.18,0.42,0.22,1.0,0.88,0.21,0.5,0.37,0.07,1.0,0.31,0.44
gamestone.csv,1.0,0.35,0.22,0.55,0.47,0.62,0.33,0.57,0.25,1.0,0.34,0.24
geochat.csv,0.13,0.3,0.22,0.2,0.44,0.38,0.35,0.31,0.11,0.22,0.25,1.0
igarden.csv,0.0,1.0,0.17,0.32,0.25,0.5,0.38,0.43,0.29,0.6,0.45,0.25
ingex.csv,0.11,0.11,0.09,0.19,0.78,0.93,0.21,0.27,0.25,0.4,0.35,0.09
lphant.csv,0.14,0.31,0.25,0.28,0.33,0.4,0.55,1.0,0.24,0.46,0.26,0.24
nabu-library.csv,0.17,0.31,0.16,0.31,1.0,0.38,0.28,0.35,0.22,0.29,0.28,0.18
nebuladevice.csv,0.2,0.4,0.42,0.33,0.54,0.56,0.64,0.33,1.0,0.5,0.29,0.35
owlapi.csv,0.11,0.2,0.96,0.39,0.57,0.55,0.23,0.33,0.13,0.42,0.15,0.24
pi-qmc.csv,0.18,0.33,0.23,0.4,0.75,0.47,0.43,0.45,0.13,1.0,0.32,0.33
trinitycore.csv,0.25,0.38,0.31,0.33,0.81,0.53,0.07,0.8,0.18,0.83,1.0,0.2
twostep.csv,0.18,0.36,0.24,0.32,0.45,0.41,1.0,0.52,0.2,0.55,0.28,0.25
