,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,projecteqemu.csv,kftpgrabber.csv
boost.csv,0.47,0.64,0.74,0.54,0.53,0.46,0.67,0.49
etics.csv,0.4,0.62,0.85,0.58,0.55,0.64,0.44,0.48
genecys.csv,0.82,0.9,0.75,0.76,0.44,0.84,0.69,0.85
kftpgrabber.csv,0.85,0.75,0.9,0.78,1.0,0.75,0.58,0.3
kvs.csv,0.53,0.85,0.4,0.76,0.99,0.65,0.64,0.84
mcore3d.csv,0.85,0.52,0.79,0.65,0.68,0.86,0.69,0.54
ogrehg.csv,0.48,0.57,0.84,0.44,0.37,0.54,0.51,0.45
projecteqemu.csv,0.59,0.61,0.9,0.5,0.57,0.74,0.35,0.42
