,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.68,0.34,0.21,0.28,0.59,0.45,0.41,0.63,0.5,0.69,0.56,0.51,0.73,0.7,0.72,0.71,0.29,0.77
cornerstone.csv,0.49,0.28,0.19,0.36,0.36,0.31,0.1,0.41,0.07,0.0,0.7,0.53,0.44,0.54,0.27,0.5,0.4,0.16
emeraldemu.csv,0.57,0.32,0.16,0.3,0.21,0.36,0.44,0.65,0.37,0.63,0.61,0.13,0.38,0.0,0.66,0.65,0.25,0.57
grafx2.csv,0.65,0.33,0.19,0.43,0.27,0.4,0.39,0.58,0.33,0.49,0.58,0.49,0.71,0.71,0.78,0.63,0.21,0.46
jahshakafx.csv,0.69,0.34,0.18,0.37,0.48,0.3,0.45,0.58,0.53,0.57,0.63,0.49,0.67,0.75,0.77,0.68,0.27,0.82
maya-work-in-progress.csv,0.53,0.25,0.16,0.35,0.88,0.62,0.48,0.54,0.56,0.82,0.68,0.55,0.84,0.76,0.79,0.73,0.1,0.82
novembre.csv,0.54,0.32,0.12,0.22,0.27,0.47,0.55,0.42,0.49,0.48,0.54,0.52,0.3,0.56,0.6,0.62,0.22,0.56
ns-3.csv,0.54,0.32,0.13,0.42,0.51,0.73,0.47,0.41,0.53,0.52,0.57,0.43,0.84,0.63,0.72,0.72,0.07,0.72
nullc.csv,0.47,0.21,0.11,0.23,0.86,0.6,0.53,0.52,0.49,0.32,0.63,0.47,0.75,0.5,0.78,0.68,0.2,0.85
open-beos.csv,0.63,0.32,0.23,0.31,0.58,0.55,0.43,0.52,0.61,0.42,0.46,0.46,0.73,0.75,0.75,0.72,0.12,0.72
pixel-commandos.csv,0.07,0.2,0.1,0.19,0.25,0.26,0.43,0.22,0.18,0.17,0.1,0.0,0.2,0.41,0.57,0.39,0.62,0.38
planeshift.csv,0.46,0.23,0.11,0.23,0.83,0.72,0.43,0.57,0.58,0.67,0.63,0.44,0.77,0.74,0.8,0.71,0.06,0.82
plee-the-bear.csv,0.67,0.29,0.27,0.07,0.6,0.64,0.43,0.4,0.54,0.72,0.54,0.41,0.69,0.61,0.62,0.59,0.12,0.77
reaper-ecad.csv,0.29,0.19,0.0,0.46,0.25,0.05,0.12,0.28,0.11,0.06,0.27,0.0,0.11,0.0,0.05,0.13,0.4,0.04
sbml.csv,0.61,0.32,0.15,0.32,0.5,0.63,0.39,0.5,0.58,0.62,0.7,0.5,0.77,0.72,0.78,0.72,0.09,0.34
unimrcp.csv,0.62,0.24,0.16,0.26,0.58,0.59,0.44,0.57,0.55,0.61,0.67,0.59,0.7,0.65,0.75,0.71,0.14,0.84
unladen-swallow.csv,0.26,0.3,0.21,0.06,0.27,0.47,0.34,0.36,0.41,0.47,0.32,0.53,0.54,0.55,0.24,0.6,0.11,0.24
zxing.csv,0.59,0.29,0.18,0.31,0.5,0.41,0.53,0.54,0.47,0.35,0.56,0.07,0.7,0.43,0.68,0.69,0.18,0.8
