,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.44,0.53,0.67,0.57,0.49,0.6,0.42,0.47,0.46,0.07,0.63,0.32,0.52,0.65,0.4
bibletime.csv,0.52,0.72,0.71,0.52,0.49,0.56,0.44,0.43,0.71,0.05,0.85,0.33,0.58,0.78,0.72
boost.csv,0.54,0.57,0.63,0.4,0.61,0.55,0.44,0.4,0.57,0.06,0.79,0.36,0.58,0.62,0.53
doomlegacy.csv,0.51,0.47,0.15,0.09,0.39,0.62,0.33,0.39,0.79,0.05,0.67,0.37,0.62,0.29,0.22
gpac.csv,0.37,0.51,0.67,0.45,0.54,0.49,0.17,0.54,0.4,0.07,0.82,0.38,0.63,0.85,0.47
kftpgrabber.csv,0.3,0.07,0.13,0.05,0.27,0.73,0.13,0.16,0.18,0.0,0.75,0.28,0.34,0.0,0.01
nativeclient.csv,0.59,0.73,0.42,0.47,0.46,0.51,0.49,0.28,0.67,0.03,0.69,0.37,0.66,0.72,0.69
netatalk.csv,0.49,0.49,0.55,0.37,0.47,0.45,0.57,0.5,0.8,0.06,0.78,0.34,0.59,0.82,0.57
open-ms.csv,0.53,0.49,0.3,0.47,0.42,0.61,0.48,0.25,0.81,0.07,0.33,0.36,0.61,0.52,0.41
openmsx.csv,0.37,0.22,0.07,0.07,0.24,0.18,0.24,0.52,0.74,0.04,0.48,0.27,0.52,0.69,0.27
rosegarden.csv,0.63,0.7,0.62,0.5,0.49,0.53,0.54,0.34,0.81,0.05,0.78,0.36,0.57,0.67,0.7
rsyslog.csv,0.52,0.72,0.2,0.32,0.52,0.62,0.4,0.46,0.78,0.06,0.83,0.34,0.63,0.8,0.73
sandiaportals.csv,0.46,0.61,0.66,0.42,0.49,0.49,0.42,0.45,0.37,0.08,0.86,0.34,0.6,0.85,0.57
xmoto.csv,0.47,0.62,0.58,0.52,0.54,0.56,0.4,0.43,0.5,0.08,0.75,0.36,0.73,0.85,0.64
xqilla.csv,0.37,0.07,0.35,0.36,0.1,0.35,0.41,0.09,0.6,0.5,0.38,0.24,0.28,0.33,0.29
