,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.51,0.74,0.38,0.57,0.5,0.46,0.8,0.47,0.64,0.49,0.52,0.6,0.65,0.45,0.75
bibletime.csv,0.48,0.5,0.32,0.38,0.45,0.42,0.37,0.52,0.34,0.38,0.39,0.43,0.44,0.38,0.5
boost.csv,0.57,0.5,0.43,0.5,0.56,0.43,0.45,0.67,0.5,0.4,0.37,0.59,0.45,0.54,0.67
doomlegacy.csv,0.45,0.5,0.89,0.8,0.92,0.39,0.75,0.57,0.31,0.34,0.47,0.53,0.44,0.89,0.96
gpac.csv,0.87,0.76,0.51,0.46,0.48,0.42,0.89,0.55,0.69,0.41,0.4,0.73,0.43,0.39,0.65
kftpgrabber.csv,0.97,0.0,0.8,0.0,0.97,0.44,0.0,0.91,0.89,0.86,0.37,0.89,0.82,0.0,0.0
nativeclient.csv,0.56,0.52,0.66,0.43,0.52,0.48,0.39,0.76,0.43,0.42,0.45,0.54,0.44,0.44,0.56
netatalk.csv,0.42,0.53,0.39,0.63,0.49,0.46,0.43,0.39,0.35,0.35,0.38,0.41,0.49,0.37,0.54
open-ms.csv,0.54,0.55,0.7,0.46,0.51,0.47,0.37,0.62,0.3,0.34,0.92,0.53,0.39,0.41,0.54
openmsx.csv,0.75,0.91,0.8,0.94,0.99,0.8,0.91,0.69,0.48,0.64,0.83,0.71,0.51,0.54,0.98
rosegarden.csv,0.51,0.46,0.45,0.4,0.47,0.45,0.43,0.71,0.32,0.35,0.43,0.43,0.45,0.43,0.54
rsyslog.csv,0.45,0.52,0.93,0.76,0.48,0.39,0.62,0.52,0.35,0.36,0.38,0.45,0.43,0.36,0.55
sandiaportals.csv,0.54,0.61,0.38,0.55,0.68,0.46,0.59,0.7,0.87,0.81,0.37,0.62,0.54,0.45,0.75
xmoto.csv,0.47,0.56,0.36,0.46,0.47,0.44,0.41,0.47,0.54,0.51,0.39,0.62,0.49,0.4,0.47
xqilla.csv,0.52,0.0,0.68,0.89,0.96,0.67,0.6,0.95,0.41,0.89,0.74,0.62,0.76,0.84,0.7
