,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.5,0.29,0.49,0.26,0.43,0.47,0.13,0.6,0.27,0.44,0.14,0.28,0.23,0.28,0.19
bibletime.csv,0.44,0.83,0.98,0.92,0.38,0.63,0.76,0.38,0.73,0.93,0.07,0.75,0.45,0.61,0.84
boost.csv,0.34,0.29,0.57,0.5,0.35,0.5,0.37,0.17,0.23,0.86,0.36,0.47,0.23,0.0,0.25
doomlegacy.csv,0.41,0.0,0.09,0.04,0.04,0.31,0.03,0.22,0.42,0.89,0.14,0.41,0.25,0.0,0.06
gpac.csv,0.22,0.38,0.3,0.76,0.92,0.95,0.18,0.62,0.46,0.68,0.71,0.25,0.91,1.0,0.18
kftpgrabber.csv,0.04,0.0,0.02,0.0,0.04,0.19,0.0,0.05,0.04,0.06,0.43,0.13,0.07,0.0,0.0
nativeclient.csv,0.21,0.38,0.23,0.58,0.3,0.23,0.37,0.17,0.27,0.55,0.43,0.49,0.39,0.22,0.28
netatalk.csv,0.53,0.21,0.62,0.38,0.35,0.56,0.29,0.64,0.69,0.8,0.43,0.68,0.48,0.72,0.42
open-ms.csv,0.18,0.08,0.23,0.28,0.27,0.21,0.29,0.26,0.62,0.48,0.0,0.34,0.32,0.33,0.17
openmsx.csv,0.39,0.29,0.06,0.22,0.19,0.32,0.21,0.33,0.69,0.39,0.5,0.47,0.82,0.72,0.19
rosegarden.csv,0.24,0.38,0.4,0.69,0.32,0.37,0.34,0.19,0.62,0.89,0.29,0.78,0.39,0.39,0.64
rsyslog.csv,0.57,0.33,0.15,0.2,0.41,0.31,0.26,0.4,0.65,0.88,0.36,0.74,0.57,0.39,0.4
sandiaportals.csv,0.59,0.62,0.81,0.59,0.28,0.76,0.53,0.34,0.15,0.38,0.43,0.43,0.34,0.17,0.33
xmoto.csv,0.46,0.58,0.7,0.41,0.95,0.26,1.0,0.49,0.31,0.37,0.71,0.31,0.2,1.0,0.38
xqilla.csv,0.44,0.0,0.23,0.11,0.06,0.27,0.24,0.17,0.54,0.05,0.21,0.41,0.3,0.39,0.26
